Indicateur,Valeur
Auteurs (nœuds),15012.0
Liens,93378.0
Densité,0.000828755422149523
Composantes connexes,2335.0
Taille LCC,6239.0
Diamètre (composante géante),18.0
Clustering moyen,0.01200508996014489
Degré moyen,12.440447641886491
