Indicateur,Valeur
Publications (nœuds),4734.0
Liens,9425.0
Densité,0.0008412916848872147
Composantes connexes,2335.0
Taille LCC,1616.0
Diamètre (composante géante),17.0
Clustering moyen,0.011211219630861009
Degré moyen,3.981833544571187
