topic,rank,term,ctfidf_score
15,2,germany,0.059243
15,3,record,0.057607
15,4,variability,0.056231
15,5,tree,0.050822
15,6,lake,0.046752
15,7,forest,0.046752
15,8,southern,0.045066
15,9,mining,0.044838
15,10,years,0.040243
15,11,late,0.0395
15,12,millennium,0.037418
15,13,evidence,0.035969
15,14,central,0.035137
15,15,environmental,0.034931
16,1,mongol,0.239514
16,2,china,0.091466
16,3,invasion,0.062564
16,4,empire,0.051527
16,5,tatar,0.047539
16,6,golden,0.046332
16,7,russian,0.04144
16,8,history,0.029483
16,9,russia,0.028438
16,10,relations,0.026543
16,11,dynasty,0.023489
16,12,eurasia,0.02115
16,13,conquest,0.020277
16,14,invasions,0.020216
16,15,war,0.019112
17,1,short,0.084377
17,2,ancient,0.083054
17,3,history,0.079174
17,4,introduction,0.073194
17,5,reviews,0.062162
17,6,original,0.047468
17,7,science,0.046517
17,8,chronology,0.043713
17,9,historical,0.041756
17,10,maps,0.040931
17,11,editorial,0.040892
17,12,published,0.039522
17,13,time,0.039518
17,14,reflections,0.038764
17,15,issue,0.037616
18,1,women,0.143395
18,2,gender,0.077493
18,3,female,0.067769
18,4,marriage,0.06322
18,5,england,0.040278
18,6,power,0.039956
18,7,queen,0.034496
18,8,family,0.032959
18,9,law,0.032672
18,10,london,0.03023
18,11,europe,0.030198
18,12,sex,0.027259
18,13,literature,0.023993
18,14,sexual,0.023609
18,15,woman,0.022679
19,1,und,2.85647
19,2,,1e-05
19,3,,1e-05
19,4,,1e-05
19,5,,1e-05
19,6,,1e-05
19,7,,1e-05
19,8,,1e-05
19,9,,1e-05
19,10,,1e-05
19,11,,1e-05
19,12,,1e-05
19,13,,1e-05
19,14,,1e-05
19,15,,1e-05
20,1,,1e-05
20,2,,1e-05
20,3,,1e-05
20,4,,1e-05
20,5,,1e-05
20,6,,1e-05
20,7,,1e-05
20,8,,1e-05
20,9,,1e-05
20,10,,1e-05
20,11,,1e-05
20,12,,1e-05
20,13,,1e-05
20,14,,1e-05
20,15,,1e-05
21,1,,1e-05
21,2,,1e-05
21,3,,1e-05
21,4,,1e-05
21,5,,1e-05
21,6,,1e-05
21,7,,1e-05
21,8,,1e-05
21,9,,1e-05
21,10,,1e-05
21,11,,1e-05
21,12,,1e-05
21,13,,1e-05
21,14,,1e-05
21,15,,1e-05
22,1,short,1.837571
22,2,reviews,1.253077
22,3,case,0.036883
22,4,,1e-05
22,5,,1e-05
22,6,,1e-05
22,7,,1e-05
22,8,,1e-05
22,9,,1e-05
22,10,,1e-05
22,11,,1e-05
22,12,,1e-05
22,13,,1e-05
22,14,,1e-05
22,15,,1e-05
23,1,reviews,2.404714
23,2,general,0.294589
23,3,review,0.196436
23,4,,1e-05
23,5,,1e-05
23,6,,1e-05
23,7,,1e-05
23,8,,1e-05
23,9,,1e-05
23,10,,1e-05
23,11,,1e-05
23,12,,1e-05
23,13,,1e-05
23,14,,1e-05
23,15,,1e-05
24,1,books,1.528149
24,2,reviews,1.180711
24,3,book reviews,0.105106
24,4,children,0.086162
24,5,myth,0.082034
24,6,edited,0.063942
24,7,book,0.061903
24,8,early,0.044368
24,9,,1e-05
24,10,,1e-05
24,11,,1e-05
24,12,,1e-05
24,13,,1e-05
24,14,,1e-05
24,15,,1e-05
25,1,exchange,2.232413
25,2,publications,2.14767
25,3,,1e-05
25,4,,1e-05
25,5,,1e-05
25,6,,1e-05
25,7,,1e-05
25,8,,1e-05
25,9,,1e-05
25,10,,1e-05
25,11,,1e-05
25,12,,1e-05
25,13,,1e-05
25,14,,1e-05
25,15,,1e-05
