,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
0,0.9999999,0.67067796,0.5637416,0.69484687,0.65664816,0.6611867,0.70361066,0.65495455,0.6354052,0.4982761,0.5395522,0.5419378,0.623798,0.6523314,0.509213,0.53387445,0.50102353,0.55005234,0.6201006,0.19876818,0.14021257,0.14021257,0.043571975,0.12563205,0.1982268,0.11284289
1,0.67067796,1.0000004,0.7950525,0.5542598,0.81586474,0.7714015,0.72476494,0.810218,0.59774506,0.6171446,0.6704557,0.66955465,0.8135865,0.606035,0.60370326,0.31234446,0.532256,0.77925646,0.78922665,0.20066963,0.15188363,0.15188366,0.13191748,0.16885212,0.32580143,0.17355064
2,0.5637416,0.7950525,0.9999999,0.46722105,0.71822727,0.74373955,0.5940498,0.69316745,0.5063801,0.62496495,0.7599044,0.64292884,0.7434511,0.58365375,0.56654835,0.21966045,0.4734993,0.644247,0.7096901,0.17246425,0.20179266,0.2017927,0.0587613,0.120999545,0.26560622,0.13357846
3,0.69484687,0.5542598,0.46722105,0.9999999,0.64125085,0.67570984,0.7512076,0.53121185,0.7453996,0.56703687,0.5155235,0.48008913,0.63131523,0.720503,0.64127386,0.72465897,0.50026494,0.51575154,0.5093123,0.13698491,0.08307721,0.0830772,0.018710462,0.07779829,0.0953217,0.0704878
4,0.65664816,0.81586474,0.71822727,0.64125085,1.0,0.8424171,0.7119837,0.77620363,0.67190015,0.71115065,0.685042,0.6787863,0.7696107,0.68314826,0.63500893,0.39407235,0.53034836,0.7392174,0.68121517,0.34474498,0.22721115,0.22721115,0.1037118,0.1986469,0.2729324,0.17558119
5,0.6611867,0.7714015,0.74373955,0.67570984,0.8424171,1.0000002,0.7336792,0.8019705,0.6980663,0.68585145,0.78279805,0.70680207,0.76004064,0.7792332,0.5824015,0.39198035,0.6771884,0.66903734,0.666347,0.1718503,0.13266641,0.1326664,0.041273996,0.109687105,0.20076887,0.11274776
6,0.70361066,0.72476494,0.5940498,0.7512076,0.7119837,0.7336792,1.0,0.78560746,0.7097433,0.6086234,0.56751406,0.61287546,0.71869147,0.6380074,0.51981366,0.56607807,0.47902864,0.62742925,0.62178683,0.18210399,0.13903525,0.13903527,0.073529854,0.10919882,0.16671282,0.092802
7,0.65495455,0.810218,0.69316745,0.53121185,0.77620363,0.8019705,0.78560746,0.9999999,0.57502556,0.53231156,0.6610306,0.7486628,0.6692603,0.61943614,0.5520276,0.31249845,0.54042625,0.7068478,0.75110316,0.22547993,0.13277358,0.1327736,0.10859874,0.12930636,0.21626148,0.16560641
8,0.6354052,0.59774506,0.5063801,0.7453996,0.67190015,0.6980663,0.7097433,0.57502556,0.9999999,0.7495978,0.51636505,0.45649463,0.79372203,0.6462872,0.5222194,0.49831393,0.48751345,0.5322577,0.5080549,0.1876184,0.10905319,0.109053195,0.04092329,0.1231339,0.13825664,0.16605504
9,0.4982761,0.6171446,0.62496495,0.56703687,0.71115065,0.68585145,0.6086234,0.53231156,0.7495978,1.0000001,0.50841135,0.41837716,0.8442323,0.5310741,0.4964431,0.32168567,0.35994872,0.50221777,0.51986754,0.2088287,0.16708955,0.16708955,0.05561328,0.11743356,0.15773138,0.15067019
10,0.5395522,0.6704557,0.7599044,0.5155235,0.685042,0.78279805,0.56751406,0.6610306,0.51636505,0.50841135,1.0,0.70538795,0.6332668,0.67197365,0.523432,0.25065583,0.6736619,0.60975707,0.6319839,0.16306323,0.13463236,0.13463235,0.027693963,0.11695455,0.26390427,0.11279908
11,0.5419378,0.66955465,0.64292884,0.48008913,0.6787863,0.70680207,0.61287546,0.7486628,0.45649463,0.41837716,0.70538795,1.0,0.55757666,0.6087099,0.53695774,0.22237927,0.6126125,0.7266974,0.6872997,0.1793333,0.1816035,0.18160354,0.06550362,0.12694421,0.22440222,0.1402734
12,0.623798,0.8135865,0.7434511,0.63131523,0.7696107,0.76004064,0.71869147,0.6692603,0.79372203,0.8442323,0.6332668,0.55757666,1.0,0.6537036,0.57503307,0.36254507,0.5261395,0.69187164,0.633538,0.22948495,0.17581117,0.1758112,0.09045649,0.17869036,0.27602807,0.19651634
13,0.6523314,0.606035,0.58365375,0.720503,0.68314826,0.7792332,0.6380074,0.61943614,0.6462872,0.5310741,0.67197365,0.6087099,0.6537036,0.99999994,0.537321,0.4552822,0.7057596,0.56962013,0.56230444,0.18637557,0.12249924,0.12249929,0.07290397,0.10622299,0.16864356,0.100547954
14,0.509213,0.60370326,0.56654835,0.64127386,0.63500893,0.5824015,0.51981366,0.5520276,0.5222194,0.4964431,0.523432,0.53695774,0.57503307,0.537321,0.99999976,0.2833294,0.43234062,0.58760405,0.58220106,0.16460815,0.0979562,0.0979562,0.09827645,0.1645222,0.19215837,0.15648891
15,0.53387445,0.31234446,0.21966045,0.72465897,0.39407235,0.39198035,0.56607807,0.31249845,0.49831393,0.32168567,0.25065583,0.22237927,0.36254507,0.4552822,0.2833294,0.99999964,0.2590044,0.32085258,0.24291623,0.121687524,0.015420282,0.015420288,0.003920419,0.019895546,0.015065214,0.018776901
16,0.50102353,0.532256,0.4734993,0.50026494,0.53034836,0.6771884,0.47902864,0.54042625,0.48751345,0.35994872,0.6736619,0.6126125,0.5261395,0.7057596,0.43234062,0.2590044,0.9999998,0.557442,0.47306448,0.16061862,0.11077522,0.110775255,0.046079386,0.12448133,0.20126858,0.065309145
17,0.55005234,0.77925646,0.644247,0.51575154,0.7392174,0.66903734,0.62742925,0.7068478,0.5322577,0.50221777,0.60975707,0.7266974,0.69187164,0.56962013,0.58760405,0.32085258,0.557442,1.0000002,0.6266053,0.29333395,0.27922994,0.27922994,0.23795256,0.33600003,0.3925964,0.24760792
18,0.6201006,0.78922665,0.7096901,0.5093123,0.68121517,0.666347,0.62178683,0.75110316,0.5080549,0.51986754,0.6319839,0.6872997,0.633538,0.56230444,0.58220106,0.24291623,0.47306448,0.6266053,0.9999999,0.12792034,0.15180811,0.15180811,0.09544768,0.1371636,0.26047027,0.13506483
19,0.19876818,0.20066963,0.17246425,0.13698491,0.34474498,0.1718503,0.18210399,0.22547993,0.1876184,0.2088287,0.16306323,0.1793333,0.22948495,0.18637557,0.16460815,0.121687524,0.16061862,0.29333395,0.12792034,1.0000002,0.19656973,0.1965697,0.07491833,0.12878212,0.17305318,0.13975397
20,0.14021257,0.15188363,0.20179266,0.08307721,0.22721115,0.13266641,0.13903525,0.13277358,0.10905319,0.16708955,0.13463236,0.1816035,0.17581117,0.12249924,0.0979562,0.015420282,0.11077522,0.27922994,0.15180811,0.19656973,1.0,1.0,0.096701205,0.17680198,0.11716652,0.09762938
21,0.14021257,0.15188366,0.2017927,0.0830772,0.22721115,0.1326664,0.13903527,0.1327736,0.109053195,0.16708955,0.13463235,0.18160354,0.1758112,0.12249929,0.0979562,0.015420288,0.110775255,0.27922994,0.15180811,0.1965697,1.0,1.0000002,0.09670122,0.17680201,0.117166534,0.09762938
