;F1;F2;F3;F4
helfen;0.010005184362572387;0.04558567648638836;0.08585762508871714;0.02475290465010316
28:1–10;0.0011705035060430374;0.0006624820667975176;0.020892588058378174;0.004951710509539838
shanzer;0.01279636037070279;0.017434281981385275;0.017115038136239425;0.0066008462921290445
troop;0.09785670157632284;0.1501466355080549;0.0029599225456728682;0.05236442691410263
episcopus;0.24415594049976425;0.20221402920330547;0.0005717161929172959;0.02041089211806247
act;0.009343625987376083;0.005501121816771792;0.1026242171269733;0.021015963316931504
pagan;0.009926355020390054;0.00037174891305694893;0.026370009307174317;0.005156480964649736
byzantine;0.006213029573617941;0.03428004651243661;2.5272871012566158e-05;0.05177983014077462
generidus;0.00029449046694700456;0.0007272470630249345;3.508414926157942e-06;0.002374345361727682
invader;0.023818492212203664;0.08941715997244538;0.015400013673943653;0.00031669855781995784
rufinus;0.0353735016808304;0.025023489581861003;0.22381490736096546;0.17282907791768312
warlike;0.009113885115804068;0.01932058461907218;0.009863503079779174;0.00037057434549924665
otherness;0.05055044004560729;0.00011673666811568832;0.011839671075800234;0.01675175130449395
gentibus;0.010284238446686618;6.727654566012557e-05;0.01257854218511528;1.1674443496291177e-08
heydemann;0.029784746641432307;0.005987947053046836;0.0001728606643426839;0.0030636551666367094
alans;0.025376132893453977;0.040579181354972405;0.044623139034726006;0.004979108259341631
origin;0.017510587920354856;0.043772023337669615;0.01996982721994851;0.05516941029755401
gerda;0.006693040267743885;0.00178663915854095;0.000132043526042857;0.0006316769749705185
ostrogoths;0.07541685951286238;0.005537515204566662;0.0027491952825738257;0.015029595691525222
transformation;0.1323835745659565;0.045430932845145995;0.010251912636189235;0.010116096195017629
diocese;0.0691567871716212;0.030674830128885767;0.0009281631502839754;0.013690464540501084
apply;1.6606473072427104e-05;0.07679415530946368;0.2210305919952024;0.07734777447594472
nation;0.04900547579286026;0.03001195306953134;0.12008716598795278;0.11340545534972016
cherniakhiv;0.00033289071907054103;0.0002648245076003647;0.003431027410879272;0.0007228280989187815
celtis;9.348262414487815e-05;0.000901016402900939;0.0042219739904934975;0.0072102581548379304
lewdness;0.00123330633546767;0.0007114350891426125;5.908919326789859e-05;0.0004093940667217971
jer;0.009452284505090246;0.007999347536730666;0.08574975477740839;0.004012414370780581
scythian;0.005251952824360553;0.03135553176026347;0.05802967204117821;0.03426517350369991
halsall;0.028579580473204247;0.019361505983129777;0.02280050548541575;0.001699104466326474
rank;0.08160895022138234;0.03507363484730084;0.028104551137285418;0.008000890912413544
view;0.03253642858464781;0.0013077750435581642;0.17416445223408175;0.07346300020943755
province;0.09841049139341997;0.05716430440008134;0.004614631119894421;0.04085177124879736
jones;0.043405458507319604;0.004807636129070338;0.018191804986137892;0.025423923449416696
sorte;0.008278012378376894;0.004472901369272062;0.000543971231435338;0.004839613728946427
apologist;0.011394360560702721;0.0052527743509761795;0.0016852490761930933;0.01799165222563779
prosper;0.04741393879687212;0.004091879347632096;0.030862683068709557;0.11746325451039795
greek;0.001306624777109163;0.010243561972458029;6.590610638929778e-05;0.0019250412410500896
ammianus;0.019085164598336833;0.007460216657384777;0.021057352968675447;0.008469588831269515
cyrila;0.19234785053883802;0.19482078219376034;0.00026681609580097096;0.01681042716256217
lagarrigue;0.0011625325956021858;1.5292049516755488e-05;8.195195570994314e-05;0.00034762918176669514
territory;0.045001749837501194;0.10852584217762687;0.021646766234101385;0.0015176505671073194
plre;0.025701735192977478;0.0005011746054794196;0.005586582313330764;0.0002243672928189308
presbyter;0.20219831144943093;0.19505293332905116;0.0005998469468297509;0.012591804168351851
rhine;0.003970723660848961;0.019591999496984782;0.002160097056492223;0.014852590449807461
virtue;0.004628651140938627;0.005255881369455363;0.03808862832161791;0.004230844183148072
recruit;0.03623431630305663;0.07560783267468968;0.003995749940647369;0.036663361311743595
sack;0.06078975040521835;0.013202775286085133;0.07167353235182193;0.11200941048569114
sors;0.0013056435054550062;0.0028676873713947685;0.0008765255814759822;0.0023344672242303736
heathen;0.002026839407787729;0.004128500766488899;0.04925035411095103;0.005194354379310782
sacerdo;0.15157542051377204;0.14694878825681965;0.0015385899322393171;0.018486758352061254
eunapius;0.023501797378161476;0.00030614568029257896;0.004393290623119543;0.004771180639258954
