"";"banalfreq";"X.date_2020.06.26";"X.date_2020.07.13";"X.date_2020.12.16";"X.date_2021.01.23";"X.date_2021.03.23";"X.date_2021.03.24";"X.date_2021.04.04";"X.date_2021.05.20";"X.date_2021.05.21";"X.date_2021.08.21";"X.date_2021.08.23";"X.date_2021.10.19";"X.date_2021.10.21";"X.date_2021.12.03";"X.date_2022.04.20";"X.date_2022.05.09";"X.date_2022.06.16";"X.date_2022.06.23";"X.date_2022.06.25";"X.date_2022.09.19";"X.date_2022.10.25";"X.date_2023.01.15";"X.date_2023.02.05";"X.date_2023.04.05";"X.date_2023.05.22";"X.date_2023.08.10";"X.date_2023.10.27";"X.date_2023.11.29";"X.date_2023.12.19";"X.date_2024.01.28";"X.date_2024.02.10";"X.date_2024.02.17";"X.date_2024.09.26";"X.date_2024.11.12";"X.date_2025.03.21";"X.date_2025.04.15";"X.date_2025.04.27";"X.date_2025.06.03";"X.date_2025.06.19";"X.date_2025.06.29";"X.date_2025.07.07";"X.date_2025.08.06";"X.date_2025.08.07";"X.date_2025.09.12";"X.date_2026.03.11"
"forme";22;0,3618;-0,1012;-0,211;-0,0955;-0,1472;-0,139;-0,1886;1,9189;0,6982;-0,2333;-0,1671;-0,3872;0,9097;-0,0551;1,6922;-0,0741;0,3705;-0,0704;-0,0434;-0,1082;-0,0629;-0,0713;-0,015;-0,1318;-0,1295;-0,2178;-0,0436;1,1234;-0,059;-0,0388;-0,4932;-0,3988;-0,3768;-0,0724;-0,0896;-0,051;-0,0539;-0,0718;0,8633;-0,1764;-0,1834;0,4094;-0,4953;-0,1454;-0,069
"fois";75;0,2402;-0,3453;-0,7195;-0,3258;0,968;0,5303;-0,2458;0,8376;0,5045;1,0239;0,7075;-0,7074;-0,1946;-0,1879;-0,172;-0,2529;-0,3573;-0,2401;-0,148;0,2422;-0,2146;-0,2431;-0,0513;-0,4496;-0,1353;-0,743;-0,1486;0,6304;-0,2013;-0,1322;0,2797;0,4344;-0,3547;0,363;-0,3057;-0,174;-0,1837;0,3654;-0,2183;-0,2071;-0,2354;-0,7995;0,75;0,504;0,3786
"lorsqu";16;0,4691;-0,0736;-0,1534;0,8303;-0,1071;-0,1011;-0,1371;0,3591;0,3381;0,2871;0,2401;0,3214;-0,0415;-0,0401;1,1714;-0,0539;0,4785;-0,0512;-0,0315;-0,0787;-0,0458;-0,0518;-0,0109;-0,0959;-0,0942;-0,1584;-0,0317;-0,0247;-0,0429;-0,0282;-0,3587;-0,29;-0,274;-0,0526;-0,0652;-0,0371;1,0643;-0,0522;-0,0465;0,2308;-0,1334;-0,4354;0,249;0,6652;-0,0502
"mes";17;0,448;-0,0782;-0,163;-0,0738;-0,1138;-0,1074;0,5451;1,1981;0,8762;-0,3465;-0,3952;-0,2992;-0,0441;-0,0426;-0,2009;-0,0573;0,4573;-0,0544;-0,0335;-0,0836;-0,0486;-0,0551;-0,0116;-0,1019;-0,1001;-0,1683;-0,0337;-0,0263;-0,0456;-0,03;0,2334;-0,3082;-0,2911;-0,0559;0,8315;-0,0394;-0,0416;0,921;-0,0494;0,6339;-0,1417;-0,4626;-0,3827;1,574;-0,0533
"aller";58;0,3575;-0,267;-0,5564;-0,2519;-0,3883;-0,3665;0,5035;0,8031;0,7581;-1,3247;-1,3489;0,391;1,3284;-0,1453;1,1532;1,1295;-0,2409;-0,1857;-0,1144;-0,2854;0,4981;-0,188;-0,0396;-0,3476;-0,3415;-0,5745;-0,1149;1,7402;0,5212;0,6783;1,5877;-1,0518;-0,4705;-0,1908;0,9902;-0,1345;-0,142;-0,1894;0,4922;1,0401;-0,4836;-0,2772;-1,3062;0,2317;1,1836
"t";37;0,2098;0,489;0,2532;-0,1607;-0,2477;-0,2338;-0,3172;-0,4818;-0,6173;0,2523;-0,3781;0,3614;-0,096;-0,0927;1,1165;-0,1247;0,2168;0,6223;-0,073;0,4655;0,665;-0,1199;-0,0253;0,3981;-0,2178;1,2982;-0,0733;-0,0572;-0,0993;-0,0652;-0,3582;0,3469;-0,6337;0,6119;-0,1508;-0,0858;-0,0906;0,6147;-0,1076;-0,8902;0,2938;1,6397;0,2488;-0,2446;-0,116
"naître";29;-0,3265;-0,1335;-0,2781;-0,1259;0,4432;0,4632;-0,2486;-0,3032;-0,1542;-0,1994;0,72;-0,1681;-0,0752;-0,0726;0,2629;-0,0977;1,4576;-0,0928;-0,0572;-0,1426;-0,083;-0,094;1,3507;-0,1738;1,2379;-0,2872;-0,0574;-0,0448;0,7851;-0,0511;0,7513;-0,5258;-0,4967;-0,0954;-0,1182;-0,0673;-0,071;-0,0947;0,7532;1,1657;-0,2417;-0,7893;-0,2475;-0,1917;-0,0909
"côté";40;0,5639;-0,1841;-0,3836;-0,1737;-0,2677;-0,2527;0,7356;1,5787;0,3489;-0,7205;-0,1849;-0,7042;-0,1038;-0,1002;-0,4729;0,5737;0,1967;-0,128;-0,0789;0,4385;-0,1144;0,5883;-0,0273;-0,2397;-0,2355;0,2231;-0,0792;-0,0618;-0,1073;-0,0705;-0,1718;-0,7253;0,3362;0,5827;-0,163;-0,0928;-0,0979;-0,1306;-0,1164;-0,9624;0,2709;0,3551;1,8389;0,9129;-0,1254
"inviter";11;-0,1238;-0,0506;1,6385;-0,0478;0,8071;0,8302;-0,0943;-0,4583;-0,1835;-0,5339;-0,2557;-0,1936;-0,0285;-0,0275;-0,13;-0,0371;0,6154;-0,0352;-0,0217;-0,0541;1,1557;-0,0356;-0,0075;-0,0659;0,8586;-0,1089;-0,0218;-0,017;-0,0295;-0,0194;-0,2466;-0,1994;-0,1884;1,0974;1,0086;-0,0255;-0,0269;-0,0359;-0,032;-0,2646;-0,0917;-0,2993;0,3619;0,812;-0,0345
"ses";154;0,692;-0,2871;-1,4786;-0,6695;0,3776;-0,2105;1,0831;-1,9794;-1,1708;1,0491;0,9679;-0,3731;-0,3999;0,6536;-1,1015;0,4761;-0,3341;-0,4934;-0,3041;0,5999;-0,441;-0,1659;-0,1053;-0,4262;0,4645;-0,4911;-0,3053;0,3746;-0,4136;0,3325;1,9541;-0,2533;-0,8246;0,4898;-0,6282;-0,3576;1,2477;-0,5034;-0,4485;0,4975;-0,3591;-0,7754;1,9393;0,3855;1,5919
"devenir";79;-0,1734;-0,3637;-0,7579;-0,3432;-0,529;-0,4994;0,6969;1,2596;0,7512;0,4908;-0,3924;-0,2105;-0,205;-0,198;0,4481;-0,2664;0,2299;-0,2529;-0,1559;-0,3888;-0,2261;-0,2561;-0,054;-0,1516;-0,4652;-0,3317;-0,1565;-0,1221;-0,212;-0,1393;-1,7721;1,813;-1,3536;-0,26;0,281;-0,1833;0,4443;1,6641;1,0089;0,3743;-0,6588;1,3023;0,2443;-0,5225;0,3617
"pourquoi";19;-0,2139;-0,0874;-0,1822;-0,0825;-0,1272;-0,12;-0,1629;1,049;0,7977;-0,9223;-0,4417;0,7617;-0,0493;-0,0476;0,3939;-0,064;1,9545;-0,0608;-0,0375;-0,0934;0,9295;-0,0616;-0,013;-0,1138;-0,1118;-0,1881;-0,0376;-0,0293;-0,051;1,1296;-0,426;0,7422;-0,3254;-0,0625;-0,0774;-0,0441;-0,0465;-0,062;-0,0553;-0,1385;0,5149;-0,169;-0,4277;-0,1256;-0,0596
"situer";13;-0,1464;-0,0598;-0,1246;-0,0564;-0,087;-0,0821;-0,1114;1,5936;0,4055;0,8198;0,839;-0,2288;-0,0337;-0,0326;-0,1536;-0,0438;0,5533;-0,0416;-0,0256;-0,0639;-0,0372;-0,0421;-0,0089;-0,0779;-0,0765;0,591;-0,0257;-0,0201;-0,0349;-0,0229;0,3108;-0,2357;-0,2226;-0,0428;-0,053;-0,0301;-0,0318;-0,0424;-0,0378;-0,3127;-0,1083;-0,3538;-0,2926;-0,0859;-0,0408
"futur";11;-0,1238;-0,0506;-0,1055;-0,0478;0,8071;0,8302;-0,0943;-0,4583;-0,1835;-0,5339;-0,2557;-0,1936;-0,0285;-0,0275;-0,13;-0,0371;0,6154;-0,0352;-0,0217;-0,0541;-0,0315;-0,0356;-0,0075;-0,0659;-0,0647;-0,1089;-0,0218;1,4161;-0,0295;-0,0194;0,3633;-0,1994;-0,1884;-0,0362;1,0086;-0,0255;-0,0269;-0,0359;-0,032;-0,2646;1,7517;0,8509;0,3619;-0,0727;-0,0345
"classe";10;-0,1126;-0,046;-0,0959;-0,0434;-0,0669;-0,0632;-0,0857;0,6363;-0,1668;-0,4854;0,3825;-0,176;-0,0259;-0,025;-0,1182;1,127;0,6516;-0,032;-0,0197;-0,0492;-0,0286;-0,0324;-0,0068;-0,0599;-0,0589;-0,099;-0,0198;-0,0154;-0,0268;1,4005;-0,2242;1,2188;-0,1712;-0,0329;-0,0407;-0,0232;-0,0245;-0,0326;-0,0291;0,3714;-0,0833;-0,2721;-0,2251;0,8502;-0,0313
"construire";15;-0,1689;-0,069;-0,1438;-0,0651;-0,1004;-0,0948;-0,1286;0,3929;0,3586;1,1815;1,3959;-0,264;-0,0389;-0,0376;-0,1773;-0,0505;0,5014;-0,048;-0,0296;-0,0738;-0,0429;-0,0486;-0,0102;-0,0899;-0,0883;-0,1485;-0,0297;-0,0232;1,0532;-0,0264;-0,3363;-0,2719;-0,2569;-0,0493;-0,0611;-0,0348;-0,0367;-0,049;-0,0436;-0,3608;-0,125;0,6376;0,2672;-0,0992;-0,047
"encore";54;-0,2245;-0,2486;-0,518;0,9963;-0,3615;-0,3413;0,5455;0,4285;-0,1758;-0,3127;-0,3365;0,779;-0,1401;-0,1353;0,7529;0,4655;-0,2153;-0,1728;-0,1065;-0,2657;-0,1545;-0,175;-0,0369;-0,3237;0,2848;-0,5348;-0,107;-0,0834;0,5472;-0,0952;0,5409;1,6489;-0,925;-0,1777;0,4006;-0,1253;-0,1322;0,4766;-0,1571;0,4792;-0,1391;-0,4494;-0,3167;0,7071;-0,1693
"mener";27;0,2981;-0,1243;-0,2589;-0,1172;0,468;0,4884;-0,2315;0,6378;-0,4505;0,2559;-0,2324;1,0446;-0,07;-0,0676;-0,3191;-0,091;0,3061;-0,0864;-0,0532;-0,1328;-0,0772;-0,0875;-0,0184;0,5072;-0,1589;-0,2673;-0,0535;-0,0417;-0,0724;-0,0476;0,817;0,5185;0,5519;-0,0888;1,5821;-0,0626;-0,0661;-0,0881;-0,0785;-0,245;-0,2251;-0,7349;-0,221;-0,1785;-0,0847
"étudier";11;-0,1238;-0,0506;-0,1055;-0,0478;-0,0736;-0,0695;-0,0943;1,8652;1,2057;0,4854;0,3516;-0,1936;-0,0285;-0,0275;-0,13;-0,0371;0,6154;-0,0352;-0,0217;-0,0541;-0,0315;-0,0356;-0,0075;-0,0659;-0,0647;-0,1089;-0,0218;-0,017;-0,0295;-0,0194;-0,2466;-0,1994;-0,1884;-0,0362;-0,0448;-0,0255;1,221;-0,0359;-0,032;-0,2646;-0,0917;-0,2993;-0,2476;-0,0727;-0,0345
"assez";13;-0,1464;-0,0598;-0,1246;-0,0564;-0,087;-0,0821;-0,1114;0,4729;0,4055;0,8198;0,2998;-0,2288;-0,0337;-0,0326;-0,1536;-0,0438;0,5533;-0,0416;-0,0256;-0,0639;-0,0372;-0,0421;-0,0089;-0,0779;0,7918;-0,1287;1,24;-0,0201;-0,0349;-0,0229;-0,2914;-0,2357;0,3968;-0,0428;-0,053;-0,0301;-0,0318;-0,0424;1,0789;-0,3127;-0,1083;-0,3538;0,3096;-0,0859;-0,0408
"traverser";10;-0,1126;-0,046;-0,0959;-0,0434;0,8453;0,8685;-0,0857;-0,4167;-0,1668;-0,1464;-0,2325;-0,176;-0,0259;-0,025;-0,1182;-0,0337;0,6516;-0,032;-0,0197;-0,0492;-0,0286;-0,0324;-0,0068;-0,0599;-0,0589;-0,099;-0,0198;-0,0154;-0,0268;-0,0176;1,0603;-0,1813;-0,1712;-0,0329;-0,0407;-0,0232;-0,0245;-0,0326;-0,0291;-0,2405;-0,0833;0,332;1,9275;-0,0661;-0,0313
"groupe";18;0,4284;-0,0828;0,4842;-0,0782;-0,1205;-0,1137;1,3236;0,3012;0,3018;-0,8737;-0,4185;0,2858;-0,0467;-0,0451;1,081;-0,0607;1,1369;-0,0576;-0,0355;-0,0885;-0,0515;-0,0583;-0,0123;-0,1078;-0,1059;0,4729;-0,0356;-0,0278;-0,0483;-0,0317;0,2182;-0,3263;-0,3082;-0,0592;-0,0733;-0,0417;-0,0441;-0,0588;-0,0524;-0,433;-0,15;1,0347;0,2171;-0,119;-0,0564
"territoire";12;0,5729;-0,0552;-0,1151;-0,0521;-0,0803;-0,0758;-0,1029;-0,5;-0,2002;-0,1988;-0,279;-0,2112;-0,0311;-0,0301;1,4006;-0,0404;0,5828;-0,0384;-0,0237;-0,059;-0,0343;-0,0389;-0,0082;-0,0719;0,8237;0,621;-0,0238;-0,0185;-0,0322;-0,0211;1,7018;-0,2175;-0,2055;-0,0395;-0,0489;-0,0278;-0,0294;1,0643;-0,0349;-0,2886;-0,1;0,2769;-0,2701;-0,0793;-0,0376
"rien";34;-0,3828;-0,1565;0,7706;-0,1476;-0,2276;-0,2148;-0,2915;-0,4119;-0,1995;0,3091;0,2716;-0,2171;0,7357;-0,0852;0,6351;0,6347;0,2395;-0,1088;0,8445;-0,1672;-0,0973;-0,1102;-0,0232;-0,2037;-0,2001;-0,3367;-0,0673;-0,0525;-0,0912;-0,0599;-0,3149;-0,6164;-0,2079;-0,1118;-0,1385;-0,0789;-0,0832;0,6467;-0,0989;0,9651;0,3194;1,2773;0,2858;0,3936;-0,1066
"jouer";12;-0,1351;-0,0552;0,6331;-0,0521;-0,0803;-0,0758;-0,1029;0,5205;0,4326;-0,1988;-0,279;-0,2112;-0,0311;-0,0301;-0,1418;-0,0404;0,5828;-0,0384;-0,0237;0,896;-0,0343;1,0673;-0,0082;0,8165;1,9619;-0,1188;-0,0238;-0,0185;-0,0322;-0,0211;-0,269;-0,2175;0,4237;-0,0395;-0,0489;-0,0278;-0,0294;-0,0392;-0,0349;-0,2886;-0,1;-0,3266;-0,2701;-0,0793;-0,0376
"rupture";10;0,6414;-0,046;-0,0959;-0,0434;-0,0669;-0,0632;-0,0857;-0,4167;-0,1668;1,0949;1,0338;-0,176;-0,0259;-0,025;-0,1182;-0,0337;-0,1096;-0,032;-0,0197;-0,0492;-0,0286;-0,0324;-0,0068;-0,0599;-0,0589;-0,099;-0,0198;-0,0154;-0,0268;-0,0176;0,3945;1,2188;-0,1712;-0,0329;-0,0407;-0,0232;-0,0245;-0,0326;-0,0291;-0,2405;-0,0833;0,332;-0,2251;-0,0661;-0,0313
"brutal";11;-0,1238;-0,0506;-0,1055;-0,0478;-0,0736;-0,0695;-0,0943;-0,4583;-0,1835;0,9908;1,7691;-0,1936;-0,0285;-0,0275;-0,13;-0,0371;-0,1206;-0,0352;-0,0217;-0,0541;-0,0315;-0,0356;-0,0075;-0,0659;-0,0647;-0,1089;-0,0218;-0,017;-0,0295;-0,0194;-0,2466;1,1432;-0,1884;-0,0362;-0,0448;-0,0255;-0,0269;-0,0359;-0,032;-0,2646;-0,0917;0,3027;0,9845;-0,0727;-0,0345
"ici";22;0,3618;-0,1012;-0,211;0,7046;-0,1472;-0,139;-0,1886;0,866;0,2438;-0,2333;-0,1671;0,2291;-0,0571;-0,0551;-0,26;0,8043;-0,2412;-0,0704;-0,0434;-0,1082;-0,0629;-0,0713;-0,015;-0,1318;1,4562;-0,2178;-0,0436;-0,034;-0,059;-0,0388;-0,1576;-0,3988;-0,3768;0,814;-0,0896;-0,051;0,9332;-0,0718;-0,064;0,4765;-0,1834;-0,2144;-0,1587;0,5458;-0,069
"ou";170;-0,728;-0,7834;0,7715;-0,7392;0,5801;0,635;0,3713;1,661;0,958;-0,3318;0,405;0,8523;-0,4415;0,5919;1,7699;-0,5737;-1,8662;-0,5447;-0,3357;0,8985;0,513;-0,5516;-0,1163;-1,02;0,3964;0,7287;-0,3371;-0,2629;-0,4566;-0,3;-1,5833;-0,7655;0,671;0,4348;-0,6936;-0,3948;1,7992;-0,5557;-0,4952;-1,3436;-0,785;0,4712;-0,433;0,9347;-0,1844
"depuis";72;-0,811;0,2726;1,1382;0,7936;0,5206;0,5545;0,3851;-1,4673;-0,6193;-0,4551;-0,5706;-0,3456;-0,1868;-0,1804;1,3535;0,9702;-0,7897;1,0074;-0,142;-0,3543;-0,206;0,3812;-0,0492;0,5864;-0,424;0,655;-0,1426;-0,1113;-0,1932;-0,1269;-0,2949;-0,3651;1,2235;1,7616;0,3087;0,4958;0,4766;0,993;-0,2095;0,46;-0,2208;-1,9604;-0,9373;1,6254;0,392
"celle";35;1,224;-0,1611;-0,3357;-0,152;-0,2343;-0,2211;0,8265;-0,4348;-0,584;0,5096;0,9694;0,3899;-0,0908;0,738;-0,4137;-0,118;-0,3837;-0,112;-0,069;-0,1722;-0,1001;-0,1134;-0,0239;-0,2097;0,4228;-0,3466;-0,0693;-0,0541;0,7112;-0,0617;0,5899;-0,6346;-0,5995;0,6329;0,553;-0,0812;-0,0857;-0,1143;-0,1018;1,9886;-0,2918;-0,1926;-0,3312;-0,2314;-0,1097
"série";11;0,6054;-0,0506;-0,1055;-0,0478;-0,0736;-0,0695;0,7096;-0,4583;-0,1835;0,9908;0,9614;-0,1936;-0,0285;-0,0275;-0,13;-0,0371;-0,1206;-0,0352;1,3123;-0,0541;-0,0315;-0,0356;-0,0075;-0,0659;-0,0647;-0,1089;1,3106;-0,017;-0,0295;-0,0194;-0,2466;-0,1994;-0,1884;-0,0362;-0,0448;-0,0255;-0,0269;-0,0359;-0,032;0,3408;0,7206;-0,2993;-0,2476;-0,0727;-0,0345
"effondrement";11;-0,1238;-0,0506;-0,1055;-0,0478;-0,0736;-0,0695;-0,0943;0,5745;-0,1835;0,9908;0,9614;0,4441;-0,0285;-0,0275;0,5872;-0,0371;-0,1206;-0,0352;-0,0217;-0,0541;-0,0315;-0,0356;-0,0075;-0,0659;-0,0647;-0,1089;-0,0218;-0,017;-0,0295;-0,0194;-0,2466;1,1432;-0,1884;-0,0362;-0,0448;-0,0255;-0,0269;-0,0359;-0,032;-0,2646;-0,0917;-0,2993;-0,2476;-0,0727;-0,0345
"capitale";10;-0,1126;-0,046;0,7031;-0,0434;-0,0669;-0,0632;-0,0857;-0,4167;-0,1668;1,8092;1,0338;-0,176;-0,0259;-0,025;-0,1182;-0,0337;-0,1096;-0,032;-0,0197;-0,0492;-0,0286;-0,0324;-0,0068;-0,0599;-0,0589;-0,099;-0,0198;-0,0154;-0,0268;-0,0176;0,3945;-0,1813;-0,1712;-0,0329;1,048;-0,0232;-0,0245;-0,0326;-0,0291;-0,2405;-0,0833;-0,2721;0,3931;-0,0661;-0,0313
"presque";13;0,5435;-0,0598;-0,1246;-0,0564;-0,087;-0,0821;0,6453;-0,5417;-0,2169;1,3887;0,2998;-0,2288;-0,0337;-0,0326;-0,1536;1,018;-0,1425;1,0394;-0,0256;-0,0639;-0,0372;-0,0421;-0,0089;-0,0779;-0,0765;-0,1287;-0,0257;-0,0201;-0,0349;-0,0229;-0,2914;-0,2357;-0,2226;-0,0428;-0,053;-0,0301;-0,0318;-0,0424;-0,0378;-0,3127;-0,1083;0,7331;0,8612;-0,0859;-0,0408
"rendre";29;-0,3265;1,4282;1,6043;-0,1259;-0,1941;-0,1832;0,3607;-0,3032;-0,1542;0,4339;-0,2601;-0,5105;-0,0752;-0,0726;-0,3428;-0,0977;-0,3179;-0,0928;-0,0572;-0,1426;-0,083;0,7109;-0,0198;-0,1738;-0,1707;-0,2872;-0,0574;-0,0448;-0,0778;-0,0511;-0,2459;1,5335;-0,1608;0,7051;-0,1182;-0,0673;-0,071;-0,0947;-0,0844;-0,274;0,3697;0,2734;0,3621;-0,1917;0,7238
"représenter";12;-0,1351;-0,0552;-0,1151;-0,0521;-0,0803;-0,0758;-0,1029;-0,5;-0,2002;1,5114;1,661;0,4144;-0,0311;-0,0301;-0,1418;-0,0404;-0,1315;-0,0384;-0,0237;-0,059;-0,0343;-0,0389;-0,0082;-0,0719;-0,0706;-0,1188;-0,0238;-0,0185;-0,0322;-0,0211;-0,269;-0,2175;-0,2055;1,0612;-0,0489;-0,0278;-0,0294;-0,0392;-0,0349;0,3138;-0,1;0,2769;0,3343;-0,0793;-0,0376
"tel";13;-0,1464;-0,0598;1,4993;-0,0564;-0,087;-0,0821;-0,1114;0,4729;-0,2169;-0,2266;0,2998;0,3877;1,1267;-0,0326;-0,1536;-0,0438;-0,1425;-0,0416;-0,0256;-0,0639;-0,0372;-0,0421;-0,0089;-0,0779;-0,0765;-0,1287;-0,0257;-0,0201;-0,0349;-0,0229;-0,2914;-0,2357;1,0562;-0,0428;-0,053;-0,0301;-0,0318;-0,0424;-0,0378;0,8157;-0,1083;0,254;-0,2926;-0,0859;-0,0408
"lorsque";20;-0,2252;-0,092;-0,1918;-0,0868;-0,1338;-0,1263;-0,1714;0,2537;0,2707;0,4488;0,5526;-0,352;-0,0519;-0,0501;0,377;-0,0674;-0,2192;-0,064;-0,0394;-0,0984;-0,0572;-0,0648;-0,0137;-0,1198;-0,1177;-0,198;-0,0396;-0,0309;-0,0536;-0,0352;0,5744;-0,3626;-0,3425;-0,0658;-0,0815;-0,0464;-0,049;-0,0653;-0,0582;1,6913;1,262;0,4622;-0,1355;-0,1322;-0,0627
"centre";19;-0,2139;-0,0874;-0,1822;-0,0825;1,4734;1,519;-0,1629;-0,7917;-0,317;0,8731;1,134;-0,3344;-0,0493;-0,0476;-0,2246;0,8631;-0,2083;-0,0608;-0,0375;-0,0934;-0,0543;-0,0616;-0,013;-0,1138;-0,1118;-0,1881;-0,0376;-0,0293;-0,051;-0,0335;-0,426;-0,3444;0,7801;-0,0625;-0,0774;1,0156;-0,0465;-0,062;-0,0553;0,5637;-0,1584;-0,5171;-0,4277;1,4831;-0,0596
"certain";11;-0,1238;-0,0506;-0,1055;-0,0478;-0,0736;-0,0695;-0,0943;0,5745;0,4627;-0,172;0,3516;-0,1936;-0,0285;-0,0275;-0,13;-0,0371;-0,1206;-0,0352;-0,0217;0,9314;-0,0315;-0,0356;-0,0075;-0,0659;-0,0647;-0,1089;-0,0218;-0,017;-0,0295;-0,0194;0,3633;-0,1994;0,4536;-0,0362;-0,0448;-0,0255;-0,0269;-0,0359;-0,032;0,3408;-0,0917;0,8509;-0,2476;-0,0727;-0,0345
"trône";12;-0,1351;-0,0552;-0,1151;-0,0521;0,7726;0,7954;-0,1029;-0,5;-0,2002;0,8999;1,661;-0,2112;-0,0311;-0,0301;-0,1418;-0,0404;-0,1315;-0,0384;-0,0237;-0,059;-0,0343;-0,0389;-0,0082;-0,0719;0,8237;-0,1188;-0,0238;-0,0185;-0,0322;-0,0211;-0,269;-0,2175;-0,2055;-0,0395;-0,0489;-0,0278;-0,0294;-0,0392;-0,0349;-0,2886;-0,1;-0,3266;1,6971;-0,0793;-0,0376
"quelques";44;-0,4955;-0,2025;-0,422;0,4486;0,8373;0,8771;-0,3773;0,6756;0,3031;1,0569;0,3934;0,279;-0,1141;-0,1102;0,4796;0,5387;-0,4824;-0,1408;-0,0868;-0,2165;0,5993;-0,1426;-0,0301;-0,2637;-0,259;0,5832;0,7404;-0,068;-0,1181;-0,0776;0,4176;-0,7978;-0,7537;-0,1447;-0,1793;-0,1021;-0,1077;0,5503;-0,128;-0,2405;0,2439;-1,1977;-0,211;0,8457;-0,138
"ainsi";74;-0,8336;0,7364;-0,7099;0,2815;0,5047;1,0369;-0,6347;0,4376;0,5165;0,8094;0,7257;0,7675;-0,192;1,1679;-0,8751;-0,2495;-0,8116;-0,2369;-0,146;1,2908;-0,2118;-0,2399;-0,0506;-0,4436;0,5805;-0,3003;-0,1466;-0,1144;-0,1986;-0,1305;-0,9675;-1,3422;-0,3458;-0,2435;-0,3017;-0,1717;-0,1813;0,3698;-0,2154;1,3434;-0,2305;0,3281;0,4967;-0,4895;0,383
"ligne";23;0,9344;-0,1058;-0,2206;-0,0999;0,5252;0,5461;-0,1972;0,8137;0,669;-0,5458;-0,1797;-0,4048;-0,0597;-0,0576;0,3323;-0,0775;-0,2521;-0,0736;-0,0454;-0,1131;-0,0658;-0,0745;-0,0157;-0,1378;-0,1354;0,3893;1,002;-0,0355;-0,0617;-0,0405;0,4905;-0,417;0,6523;-0,0756;-0,0937;-0,0533;-0,0563;0,7992;-0,0669;-0,1896;-0,1917;0,3858;-0,5178;-0,1521;-0,0721
"certains";16;-0,1801;-0,0736;0,5264;-0,0695;-0,1071;-0,1011;1,418;-0,6667;-0,2669;0,6279;0,6953;-0,2816;-0,0415;-0,0401;0,4522;-0,0539;-0,1754;-0,0512;-0,0315;-0,0787;-0,0458;0,9488;-0,0109;-0,0959;-0,0942;-0,1584;-0,0317;-0,0247;-0,0429;-0,0282;0,2501;-0,29;-0,274;-0,0526;-0,0652;-0,0371;-0,0392;-0,0522;-0,0465;0,2308;1,4401;0,1985;-0,3602;-0,1058;0,9623
"point";40;1,0852;1,1772;0,2317;0,4819;-0,2677;-0,2527;-0,3429;0,2976;-0,2579;0,3786;0,8134;-0,7042;0,6726;-0,1002;-0,1498;-0,1348;-0,4386;1,4573;-0,0789;-0,1968;-0,1144;-0,1296;-0,0273;-0,2397;-0,2355;0,6428;-0,0792;-0,0618;-0,1073;-0,0705;-0,8969;-0,7253;-0,2685;0,5827;0,5045;-0,0928;-0,0979;0,5855;-0,1164;1,2056;-0,3334;0,3551;-0,4052;-0,2645;-0,1254
"seulement";23;-0,259;-0,1058;0,3999;-0,0999;-0,1539;-0,1453;-0,1972;1,8219;1,268;-0,2555;-0,1797;0,6351;-0,0597;-0,0576;-0,2719;-0,0775;-0,2521;-0,0736;-0,0454;1,5624;-0,0658;-0,0745;-0,0157;-0,1378;-0,1354;-0,2277;-0,0455;-0,0355;-0,0617;-0,0405;-0,5157;-0,417;-0,3939;-0,0756;-0,0937;-0,0533;-0,0563;-0,0751;-0,0669;1,4847;-0,1917;-0,626;-0,5178;1,3301;-0,0721
"tard";11;-0,1238;-0,0506;-0,1055;-0,0478;-0,0736;-0,0695;-0,0943;-0,4583;-0,1835;0,9908;0,3516;0,4441;-0,0285;-0,0275;-0,13;-0,0371;-0,1206;1,1088;-0,0217;0,9314;-0,0315;-0,0356;-0,0075;-0,0659;-0,0647;-0,1089;-0,0218;-0,017;-0,0295;-0,0194;0,3633;-0,1994;-0,1884;-0,0362;-0,0448;-0,0255;1,221;-0,0359;1,1486;-0,2646;0,7206;-0,2993;-0,2476;-0,0727;-0,0345
"porter";21;-0,2364;0,7001;-0,2014;-0,0912;0,5584;0,5797;-0,18;-0,8751;-0,3503;1,1965;0,5232;-0,3696;0,9286;-0,0526;-0,2482;0,8229;-0,2302;-0,0672;-0,0414;-0,1033;-0,0601;-0,068;-0,0143;0,5994;-0,1236;-0,2079;-0,0416;-0,0324;-0,0563;-0,037;0,5445;-0,3807;-0,3596;-0,0691;-0,0856;-0,0487;-0,0514;-0,0686;-0,0611;-0,1635;-0,175;0,4348;1,061;-0,1388;-0,0658
"premier";81;1,751;0,2394;-0,7771;-0,3519;0,4535;0,4857;-0,6947;-1,7529;-0,7313;-0,4366;-0,4142;-0,2234;0,416;0,4279;0,4306;0,3309;-0,8884;0,3472;0,5116;-0,3986;-0,2318;0,3432;-0,0554;0,516;-0,477;-0,3445;-0,1605;-0,1252;-0,2174;-0,1428;-0,3835;0,3731;-0,2095;0,3385;0,2737;-0,1879;0,4357;-0,2646;0,9907;1,9349;1,163;0,4326;-0,2142;-0,1847;0,9371
