"";"banalfreq";"X.date_2020.06.26";"X.date_2020.07.13";"X.date_2020.12.16";"X.date_2021.01.23";"X.date_2021.03.23";"X.date_2021.03.24";"X.date_2021.04.04";"X.date_2021.05.20";"X.date_2021.05.21";"X.date_2021.08.21";"X.date_2021.08.23";"X.date_2021.10.19";"X.date_2021.10.21";"X.date_2021.12.03";"X.date_2022.04.20";"X.date_2022.05.09";"X.date_2022.06.16";"X.date_2022.06.23";"X.date_2022.06.25";"X.date_2022.09.19";"X.date_2022.10.25";"X.date_2023.01.15";"X.date_2023.02.05";"X.date_2023.04.05";"X.date_2023.05.22";"X.date_2023.08.10";"X.date_2023.10.27";"X.date_2023.11.29";"X.date_2023.12.19";"X.date_2024.01.28";"X.date_2024.02.10";"X.date_2024.02.17";"X.date_2024.09.26";"X.date_2024.11.12";"X.date_2025.03.21";"X.date_2025.04.15";"X.date_2025.04.27";"X.date_2025.06.03";"X.date_2025.06.19";"X.date_2025.06.29";"X.date_2025.07.07";"X.date_2025.08.06";"X.date_2025.08.07";"X.date_2025.09.12";"X.date_2026.03.11"
"mieux";19;-0,2139;-0,0874;0,4652;-0,0825;-0,1272;-0,12;1,2809;1,049;0,2857;-0,4107;0,1949;0,27;-0,0493;-0,0476;-0,2246;-0,064;0,4191;-0,0608;-0,0375;-0,0934;-0,0543;-0,0616;-0,013;-0,1138;-0,1118;-0,1881;-0,0376;-0,0293;-0,051;-0,0335;-0,426;-0,3444;-0,3254;-0,0625;-0,0774;-0,0441;-0,0465;-0,062;-0,0553;0,5637;-0,1584;0,4917;0,6039;0,6001;-0,0596
"garder";15;0,4919;-0,069;-0,1438;-0,0651;0,6854;0,7077;-0,1286;0,3929;0,3586;-0,285;-0,3487;-0,264;-0,0389;-0,0376;-0,1773;-0,0505;0,5014;-0,048;-0,0296;-0,0738;-0,0429;0,9752;-0,0102;-0,0899;-0,0883;-0,1485;-0,0297;-0,0232;-0,0402;-0,0264;1,4348;-0,2719;0,3502;-0,0493;0,8818;-0,0348;-0,0367;-0,049;-0,0436;0,2485;-0,125;-0,4082;-0,3377;-0,0992;-0,047
"comprendre";36;-0,4054;-0,1657;-0,3453;-0,1563;0,3708;0,3897;0,807;1,8427;1,3422;-0,3345;-0,8371;-0,6337;-0,0934;-0,0902;-0,4256;-0,1213;0,646;-0,1152;-0,071;-0,1771;-0,103;-0,1167;-0,0246;-0,2157;-0,2119;-0,3565;-0,0713;-0,0556;-0,0966;-0,0634;-0,3436;0,3605;0,7919;-0,1184;-0,1467;-0,0835;-0,0881;0,625;-0,1047;0,2331;-0,3001;0,4258;0,564;-0,238;-0,1129
"appartenir";11;-0,1238;-0,0506;-0,1055;-0,0478;0,8071;0,8302;-0,0943;-0,4583;-0,1835;0,4854;0,9614;1,1653;-0,0285;-0,0275;-0,13;-0,0371;0,6154;-0,0352;-0,0217;-0,0541;-0,0315;-0,0356;-0,0075;-0,0659;-0,0647;-0,1089;-0,0218;-0,017;-0,0295;-0,0194;-0,2466;-0,1994;-0,1884;-0,0362;-0,0448;-0,0255;-0,0269;-0,0359;-0,032;0,3408;-0,0917;-0,2993;0,3619;-0,0727;-0,0345
"tant";27;0,2981;-0,1243;0,9321;-0,1172;-0,1807;-0,1706;0,3839;-0,263;-0,1371;0,2559;0,3826;-0,4753;-0,07;0,841;-0,3191;-0,091;0,8388;0,7438;-0,0532;-0,1328;-0,0772;-0,0875;-0,0184;-0,1618;0,5136;-0,2673;-0,0535;-0,0417;0,8136;-0,0476;-0,6054;-0,4895;-0,143;1,7547;-0,11;-0,0626;-0,0661;-0,0881;0,7814;-0,245;0,3932;-0,7349;0,8133;-0,1785;-0,0847
"essayer";19;0,4101;-0,0874;-0,1822;-0,0825;-0,1272;-0,12;-0,1629;1,049;0,7977;-0,1711;0,1949;0,27;-0,0493;-0,0476;-0,2246;-0,064;0,4191;-0,0608;-0,0375;-0,0934;-0,0543;-0,0616;-0,013;-0,1138;-0,1118;-0,1881;-0,0376;-0,0293;-0,051;-0,0335;-0,426;-0,3444;0,278;-0,0625;-0,0774;-0,0441;-0,0465;0,8759;-0,0553;-0,457;0,5149;1,5976;-0,4277;-0,1256;-0,0596
"petit";32;0,2489;-0,1473;-0,3069;-0,139;1,8961;1,9628;-0,2743;-1,3336;-0,5339;-0,4843;0,299;-0,5633;-0,083;-0,0802;0,6741;1,5958;0,7228;0,6777;-0,0631;-0,1574;-0,0915;-0,1037;-0,0219;1,1489;-0,1884;-0,3169;-0,0634;-0,0494;-0,0858;-0,0564;-0,7175;-0,5802;0,453;-0,1053;-0,1304;-0,0742;-0,0783;-0,1045;-0,0931;-0,7698;-0,2667;1,9373;1,1196;-0,2116;-0,1003
"tout";130;-0,2414;-0,2208;-0,3392;-0,565;-0,8709;-0,8221;-0,5595;0,5212;0,4368;-0,3123;-0,3184;0,3839;0,2674;-0,3259;-0,4967;-0,4385;1,3498;0,21;0,3505;1,2227;0,2399;-0,4217;-0,0889;-0,7797;1,0035;-1,2885;-0,2577;-0,201;-0,3491;0,387;1,1954;0,3564;-0,5924;-0,428;-0,5302;-0,3018;-0,3186;1,7742;-0,3785;0,5727;0,3468;0,2705;0,9119;-0,3834;0,2153
"sembler";35;-0,3941;-0,1611;-0,3357;-0,152;1,0007;1,0425;0,302;0,3981;0,418;0,7982;0,259;-0,6161;-0,0908;-0,0877;0,2116;-0,118;0,2316;-0,112;-0,069;0,4851;-0,1001;-0,1134;-0,0239;0,4168;0,4228;-0,3466;-0,0693;-0,0541;0,7112;-0,0617;-0,3292;-0,6346;-0,5995;-0,1151;-0,1426;-0,0812;-0,0857;-0,1143;-0,1018;-0,3657;-0,2918;0,7938;0,5866;0,384;-0,1097
"laquelle";17;0,448;-0,0782;-0,163;-0,0738;-0,1138;-0,1074;-0,1457;-0,7084;-0,2836;0,5764;0,6553;-0,2992;-0,0441;-0,0426;-0,2009;-0,0573;0,4573;-0,0544;-0,0335;-0,0836;-0,0486;-0,0551;-0,0116;-0,1019;1,6671;0,4931;-0,0337;-0,0263;-0,0456;1,1762;-0,3811;-0,3082;-0,2911;-0,0559;-0,0693;-0,0394;-0,0416;0,921;-0,0494;1,2195;0,5554;-0,1405;-0,3827;-0,1124;-0,0533
