"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"français";0,154593248668566;0,58183197358879;-0,26192307808424;0,0215406117946119;0,487443042964231;-0,254062395572975;0,180487839546448;0,679289663659414;-0,305795569327423;0,0251486951649057;0,569090451777594;-0,29661821122131;0,00355246639936727;0,0261069654183572;0,00408908673051036;2,43672076860248e-05;0,0121577042954798;0,0030597213549845;1,54640797671801e-05;0,000219047449523173;4,43905540507535e-05;3,00233467249932e-07;0,000153741384050915;4,17660891747197e-05;0,000647057736037418;1,58039223639224;0,00161611703850383
"de";0,0551451591726675;0,0916567784503813;-0,266366686295442;-0,103694255357035;0,162554516710314;-0,0519313601201559;0,157707974140136;0,262126450671041;-0,761774036095203;-0,29655206708395;0,464884749673893;-0,148516927356173;0,0295988706758495;0,04242304371679;0,276917260588648;0,0369751983018402;0,0885346605159113;0,00837089539576685;0,000185132007071951;0,000511441420258938;0,00431943095327266;0,000654600171381686;0,0016086619989153;0,000164182216594614;0,0608788892791777;0,195303118246361;0,00232212222427584
"immigration";0,233052208969787;-0,678192101310733;1,12341662752271;0,288729079097412;-0,390745061171936;0,539717188439854;0,153547833539682;-0,446830898279481;0,740169724548417;0,190230870461573;-0,257444706808419;0,35559587860337;0,00105452549770277;0,00463306494271008;0,00982567039701118;0,00057183726611792;0,00102045186692609;0,00180357956034791;1,20493240145009e-05;0,00010203794190093;0,00027998704087434;1,84942739715901e-05;3,38721863889209e-05;6,46232408712918e-05;0,000221848366641401;4,37284450543473;0,00424213323518752
"qu";0,17337634202393;-0,366385957968303;0,518934745100208;-0,168118756339939;-0,165374417366015;0,156400927932355;0,241907749166973;-0,511209322932099;0,724056896611658;-0,234571969071375;-0,230742860345333;0,218222371069058;0,0619231683370536;0,143470771707167;0,222448179538948;0,0205705830013681;0,0193938951736158;0,0160695722665078;0,000230623074615805;0,0010299134445931;0,00206608690750717;0,000216848001272197;0,000209826212058325;0,000187672974378588;0,0076722560130151;0,424524348838471;0,00138270105829144
"elle";0,0500584820961775;-0,0106433040067384;0,232259549096925;-0,0997197221495289;-0,0965417596047974;0,755882746373549;0,0622247109564021;-0,0132300558807991;0,288707981229899;-0,123955634041908;-0,12000529850444;0,939592721162775;0,0014838050491311;3,48005991594091e-05;0,0128085069281768;0,00208029237144149;0,00189979527757064;0,107890330813078;7,59756091184902e-06;3,43456525290639e-07;0,000163555816976206;3,01495585150024e-05;2,82585099370476e-05;0,00173231833590608;0,00303192767743247;0,791823902636384;0,00190097345615639
"trop";0,208849783447256;-0,947229629140487;1,97677053201013;-0,37626644164173;-1,62617904274161;0,554890719495736;0,0741067112164987;-0,336107950047996;0,701422623183877;-0,133511598963401;-0,577021334270183;0,196893315509568;0,00807095470837386;0,0861350074183696;0,289934053385919;0,00925525927890691;0,168441252934332;0,0181687037183077;2,09660393262301e-05;0,000431279570138512;0,00187828224920623;6,8051751913423e-05;0,00127111562469454;0,000148000526430365;0,000480671461056368;1,41648156768327;0,000964428848075425
"la";0,0763773354008469;0,196824785358243;-0,155611172560625;-0,189371669900995;-0,0102883843181912;-0,141466607773172;0,216227950208436;0,557220537543869;-0,440542795787847;-0,536120405292205;-0,029126916256029;-0,400498845124606;0,0449396921288185;0,154836360815952;0,0748018770915584;0,0976049560279219;0,00028070512149103;0,0491655763869054;0,000214721363065954;0,00142595500725546;0,00089130799057429;0,00132000710021875;3,89619430387119e-06;0,000736638017778624;0,0368083414985857;0,219527438438958;0,00177387849714542
"défendre";0,161464146841858;-0,483868557786529;0,358802077529554;1,79602507812824;0,463479727393983;-0,783588298817469;0,0765975796913328;-0,229544212384712;0,170213457690416;0,852023044994009;0,219871878982203;-0,371729379790133;0,00237277201358667;0,011055309532737;0,00469833050306009;0,103721637702204;0,00673007934811411;0,0178209913649573;8,19362559688815e-06;7,35832075695599e-05;4,04607388340373e-05;0,00101379163597483;6,75126875263614e-05;0,000192974442601212;0,000314285186075318;2,01970271767355;0,00128203183805484
"expression";0,196085341444354;-0,413009469086381;0,942415225842204;0,420740341781365;-1,19523416267945;0,387020260259603;0,116098708212635;-0,244535698014543;0,557987606387439;0,249113012803261;-0,707677286208944;0,229147941081608;0,00470777307092182;0,0108357150545964;0,0436053432781439;0,00765762930791;0,0602124294465316;0,00584850455740015;8,5299501497881e-06;3,78421892488616e-05;0,000197033841023286;3,92721381085135e-05;0,000316929183110545;3,32294870166374e-05;0,000221848366641401;1,74131251728995;0,000672681802785084
"une";0,0205566778973192;-0,0614459093601817;-0,237601474189621;-0,000556378719476314;-0,0605099859733105;-0,069164941727329;0,0782023099204204;-0,233754309481769;-0,90389041531602;-0,00211659205203033;-0,230193842604414;-0,263119276159587;0,00170695779077277;0,0079125263142086;0,0914418577734703;4,41772529517032e-07;0,00509126750895095;0,00616227562523405;6,09362120899636e-06;5,44446918366777e-05;0,000814081440885233;4,46386049433659e-09;5,27987567976629e-05;6,89829278074532e-05;0,014420143831691;0,303166278938994;0,00132535243006893
