"";"X.date_2020.06.26";"X.date_2020.07.13";"X.date_2020.12.16";"X.date_2021.01.23";"X.date_2021.03.23";"X.date_2021.03.24";"X.date_2021.04.04";"X.date_2021.05.20";"X.date_2021.05.21";"X.date_2021.08.21";"X.date_2021.08.23";"X.date_2021.10.19";"X.date_2021.10.21";"X.date_2021.12.03";"X.date_2022.04.20";"X.date_2022.05.09";"X.date_2022.06.16";"X.date_2022.06.23";"X.date_2022.06.25";"X.date_2022.09.19";"X.date_2022.10.25";"X.date_2023.01.15";"X.date_2023.02.05";"X.date_2023.04.05";"X.date_2023.05.22";"X.date_2023.08.10";"X.date_2023.10.27";"X.date_2023.11.29";"X.date_2023.12.19";"X.date_2024.01.28";"X.date_2024.02.10";"X.date_2024.02.17";"X.date_2024.09.26";"X.date_2024.11.12";"X.date_2025.03.21";"X.date_2025.04.15";"X.date_2025.04.27";"X.date_2025.06.03";"X.date_2025.06.19";"X.date_2025.06.29";"X.date_2025.07.07";"X.date_2025.08.06";"X.date_2025.08.07";"X.date_2025.09.12";"X.date_2026.03.11"
"pro_dem";-2,671;-1,6543;-0,9776;0,3682;-1,3347;-0,9194;2,0575;3,7671;2,8526;-3,0974;-1,0141;0,5559;0,319;-0,2334;0,4153;-1,282;10,3048;1,4052;-0,3658;-0,382;1,6858;-2,189;-0,6177;0,4621;-0,3908;-5,5337;-1,9632;-0,2628;-0,8167;-0,7285;-4,0766;-0,6247;4,2576;0,2908;-0,6661;-1,3715;1,1125;1,684;-0,5178;6,6075;-0,6978;-0,3449;-3,1746;-1,7011;-0,2957
"pro_rel";-0,8511;-4,5566;-3,5456;-1,5648;-1,0991;-1,0764;-1,2684;11,7996;5,8015;-1,5527;-0,547;0,5138;0,6632;1,0368;0,6105;-1,5393;2,684;-0,3565;-1,0087;1,177;-0,4977;-0,5863;-0,2352;-3,7994;-0,5718;-3,8864;-3,2811;-1,1438;-0,8787;0,7108;-1,3814;0,5959;1,2626;-0,2571;-0,5465;-0,3679;1,0298;0,781;-1,2577;3,3276;0,601;0,3948;-2,1994;-3,1668;0,8403
"aux";-2,6063;0,4255;0,9427;0,3458;0,4077;-0,2747;1,6044;0,7065;1,5142;-1,9457;-0,9296;-0,3796;4,8317;-0,6126;-1,0885;-0,578;5,8414;0,7126;-0,6849;0,4288;1,6098;1,241;0,4692;0,3237;-4,2132;2,1192;-0,9624;-0,5666;-0,2554;-0,4092;-0,5033;1,5234;6,7462;0,4721;0,5207;0,5272;-1,4221;0,7996;-1,3962;-2,7592;-4,0123;-3,7022;-1,3366;1,3678;1,9764
"adj_pos";-0,6187;0,2911;-0,9801;2,4117;0,4059;0,2762;0,5972;-0,6239;-0,366;-0,6751;-0,7365;-0,5548;2,153;1,4833;-1,0798;0,3655;0,649;-0,2554;0,2819;4,1962;0,4576;-1,0058;-0,5819;-0,967;0,6777;-1,6958;-0,4095;1,7569;0,6925;-1,0869;0,8611;-1,1784;-8,2572;4,5318;-1,1047;-0,8013;0,444;-0,4182;0,9018;1,2875;-0,6979;-1,537;2,0937;3,3506;0,5393
"adv";-0,8463;1,3551;-0,6238;-0,3;-3,1701;-2,25;0,5246;-0,3302;0,2749;1,1924;1,0384;0,7;0,5168;-0,374;0,3646;-0,5896;-0,6149;1,8372;-0,2951;0,4275;0,4292;0,4879;0,2162;-3,5513;-0,6735;0,6206;-1,2921;1,0971;0,9921;0,4874;-0,8827;0,6682;0,9795;0,5421;0,2746;-0,7832;-0,4723;-0,2714;-0,7918;0,6989;0,5436;-0,5186;-0,6289;-1,9186;0,5621
"ver_sup";0,5864;0,718;0,3045;1,4372;-0,4459;-0,6218;-0,2955;2,8842;2,5467;-1,6249;0,5612;0,6991;-0,3137;-0,2612;-0,9062;-0,3343;7,2097;0,4054;-0,3952;0,9098;0,9851;-1,6565;-0,6405;-2,9241;-0,9742;-0,8982;-1,2773;-0,9013;-0,238;0,3248;-3,002;0,3451;0,766;1,2937;-0,2507;-0,6005;-0,6642;0,5611;-0,566;0,9427;-0,4077;-0,7754;-2,7456;-0,6132;-0,7383
"adj_ind";-1,6041;-1,8084;0,7569;-1,0563;0,8893;0,7326;8,2396;0,8661;0,3613;0,614;0,8028;0,2866;0,4189;0,6366;-0,4339;-0,1963;-0,29;-0,302;-0,6976;0,6319;-0,5206;-0,3347;-0,2456;-0,8809;0,3441;-0,9914;-0,3324;-0,2227;-0,5063;-0,7603;0,941;-1,2006;-1,3283;-1,1756;-1,5491;-0,8545;-0,8993;-0,3098;0,5191;-1,3214;-0,2989;-0,3417;1,7177;-0,5231;-0,2954
"adj_dem";-0,4058;0,854;-1,0725;-0,3993;-0,3516;-0,3019;0,3337;0,5219;0,3134;-0,3172;1,0006;0,5565;-0,2237;-0,2729;0,8755;-0,7577;0,4024;-0,3231;-0,7228;1,1711;-0,2674;-0,3577;-0,2545;-2,2227;-1,6241;-0,7679;-0,8087;-0,623;-0,5329;0,2678;-4,6082;0,4402;4,2592;-0,6357;0,3008;0,8328;-0,1936;0,5092;-0,665;1,3208;-0,335;0,6618;0,8271;-2,6709;-1,1972
"pro_ind";-0,3572;-0,7763;-0,3921;-3,008;-1,9651;-2,3474;-0,4885;1,4873;1,3669;-1,4682;-0,5002;2,0565;-0,5657;-1,8252;0,4164;-0,6256;0,6697;-0,7816;0,5371;0,7701;0,4023;-1,3351;0,2084;-0,7966;-0,2489;-0,6776;-0,72;-1,0256;-0,6403;-0,3672;0,8822;3,0239;-0,2803;1,3693;-0,5547;0,3692;0,5603;1,7213;-0,3113;0,5952;-0,7938;0,5046;-0,2827;-1,1883;0,3289
"nom_sup";-0,6218;0,5596;0,8482;1,2362;-0,3434;-0,5019;1,0592;1,6839;1,5096;-0,5751;-0,2946;-1,2048;0,536;0,8043;0,3583;0,9206;-1,6458;0,4009;1,9113;-1,5346;2,3004;1,0242;-0,2087;0,3953;-0,4865;-0,7068;0,7087;-0,1722;-0,1732;0,7312;-0,8624;-1,3122;-0,6736;2,0632;1,9396;-0,2979;-0,7642;-0,2258;0,3763;-0,3758;-0,6569;-1,0122;-1,9741;0,2521;0,7233
"ono";-0,436;0,585;-1,4925;-0,7532;0,6272;0,6824;1,0555;-0,5774;-0,233;-1,7833;-0,988;-0,2586;0,6116;-0,457;1,2451;3,4361;0,5156;-0,1658;1,4991;0,586;-0,4522;-0,5271;-0,1049;-0,9162;-0,2263;-0,4685;2,1237;0,3503;1,0829;-0,3248;-0,7108;0,2641;-0,4757;0,4952;-0,2581;-0,365;-0,3842;0,4909;-0,1761;-0,2563;0,6376;1,0299;-0,3308;-0,5497;1,5624
"adj_sup";0,3171;-0,1153;0,3967;-0,1124;-0,1618;-0,153;-0,2006;-0,8619;-0,3415;0,3609;0,4836;0,6126;-0,0616;0,8377;-0,272;-0,085;0,3713;-0,0745;-0,0445;-0,1151;-0,0675;-0,0786;3,2209;-0,1367;-0,1507;-0,2218;-0,0497;1,0734;-0,0662;-0,0485;-0,1745;-0,3916;0,2405;-0,0749;-0,0987;-0,0545;-0,0573;-0,0755;-0,0774;0,4533;-0,2144;0,3788;0,4809;0,5018;-0,0736
"adj_num";1,3047;1,0057;0,3938;0,7067;-0,4513;-0,6775;0,7346;0,3753;-0,3753;-1,7577;-1,2436;-0,701;-0,738;-0,8168;-0,8644;0,385;-1,9938;-0,4057;0,4618;-0,4107;-0,8083;1,6547;-0,1875;6,5139;0,6344;2,0763;1,9024;-0,1449;0,5632;0,8259;0,3585;-0,292;-3,3893;2,9243;0,8652;0,7228;-0,6866;-0,4138;0,4482;-1,7434;-0,5173;-1,9563;0,4756;4,2526;-0,173
"pro_pos";-0,0869;-0,0351;-0,0678;-0,0342;0,9698;0,9928;-0,0611;-0,2623;-0,1039;-0,3348;-0,1588;-0,1277;-0,0187;-0,0208;-0,0828;-0,0259;0,8093;-0,0227;-0,0135;-0,035;-0,0205;-0,0239;-0,0048;-0,0416;-0,0459;-0,0675;-0,0151;-0,0117;-0,0201;-0,0147;-0,1598;-0,1192;-0,113;1,2912;-0,03;-0,0166;-0,0174;-0,023;-0,0235;0,4943;-0,0652;-0,1931;0,5121;0,9636;-0,0224
"num";-0,4289;-0,3141;4,6009;5,3099;-1,527;-1,0798;0,339;-4,8127;-4,3252;-1,5308;-0,4145;-3,6749;-0,3278;-1,7433;-1,1103;-3,1226;-9,144;-1,4751;80,5559;-1,9358;-1,7164;1,7886;0,5948;1,2586;-2,2234;0,9577;94,0008;-0,4196;-3,2341;10,912;-0,6481;-5,8373;-7,6928;1,9678;1,5291;-0,8448;1,2346;-0,8108;0,4443;-0,7017;0,5685;-0,3456;-0,2729;-1,0881;0,3625
"adj_int";0,3171;-0,1153;0,3967;0,6421;-0,1618;-0,153;-0,2006;0,2383;0,2641;-0,2484;-0,1729;1,8686;-0,0616;-0,0682;-0,272;-0,085;-0,2406;-0,0745;-0,0445;-0,1151;-0,0675;0,7808;-0,0157;0,5685;-0,1507;-0,2218;-0,0497;1,0734;-0,0662;-0,0485;-0,525;-0,3916;0,6899;-0,0749;-0,0987;-0,0545;-0,0573;-0,0755;0,7874;-0,1885;-0,2144;0,3788;-0,5245;0,5018;-0,0736
