"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"classe 13";-0,169049282227602;0,341602065386191;-0,0401553353972531;0,171486390582827;0,851120327141833;1,70732481213771;-0,086542386462312;0,174878340620063;-0,0205569553959657;0,0877900295776756;0,435719000440756;0,874040763508138;0,00259767942908943;0,00550316030779392;5,87726492121622e-05;0,000944406521558321;0,0226670869492539;0,0844974037792977;0,000170120841962191;0,000694659272087923;9,598809587525e-06;0,000175061312490997;0,00431233793478092;0,017352544426123;0,00595293117154425;2,02097018663306;0,0243136787908083
"classe 14";0,0226778018733607;-0,216500431507637;0,207166704622543;-0,172194198478031;0,177608009757627;0,172331541209309;0,053275043514801;-0,508606168003058;0,486679232194399;-0,404521278920315;0,417239488256122;0,404843926592524;7,71069103744466e-05;0,00364603821316579;0,00258024629212479;0,00157061298643522;0,00162806363337599;0,00141995015923631;2,9569044576381e-06;0,00026949636461095;0,000246760302634357;0,000170479596582276;0,000181367920642071;0,00017075165535346;0,00574957016878963;1,57359750846253;0,0142371380802144
"classe 15";0,126060608948725;-0,246927018177316;0,111763204548783;-0,101773877616176;-0,0311136132966955;-0,275591577057327;0,299947178830311;-0,587535337937265;0,265928097452535;-0,242159606590588;-0,0740313775206098;-0,655739463239974;0,00370626329607926;0,00737780184668893;0,0011681672259182;0,00085347514089249;7,77200835178027e-05;0,00564886916376965;0,000426579918851861;0,0016367367352836;0,000335304434559375;0,000278044461807454;2,59861837608917e-05;0,00203879465317445;0,0268436523636095;1,26168406992019;0,0427309792240044
"classe 16";0,0891364326122567;0,198205827986448;-0,211238997219086;-0,0464970554556122;0,471358961784107;0,221649090612334;0,147474569465954;0,327927854989398;-0,34949099101618;-0,076928513221743;0,77985463312643;0,366714296866301;0,000892807017534992;0,00229029926209083;0,00201059755715611;8,58299312698993e-05;0,00859420139188567;0,00176048031580195;6,13990666224485e-05;0,00030358765790201;0,000344825572266741;1,67071423602017e-05;0,00171693877386353;0,000379649803042222;0,00772771810467545;1,81767320284657;0,0255318850574188
"classe 17";0,153387651810613;-0,333871703353107;0,663236758689935;0,251955658111248;-0,217241793612231;0,515208485243852;0,157289935941796;-0,342365622090807;0,680109944035054;0,258365578041591;-0,222768569684723;0,528315732616674;0,0059278520380756;0,0145709570505482;0,0444409764132444;0,00565074297517922;0,00409315516687752;0,0213272440984962;0,000586334811508543;0,00277794797057315;0,0109623094675364;0,00158202416531325;0,00117612001645793;0,00661501595171605;0,024920966519384;1,21389486652673;0,0367220596204354
"classe 18";0,114474883446758;0,177227897548875;-0,33030542517101;0,414695903246685;0,258319753502879;0,369412472091102;0,157424151109516;0,243721159476281;-0,454231090688102;0,570283616559144;0,35523746943952;0,508010517916423;0,00078727524039159;0,00097899988212924;0,0026282546765567;0,00365011400134685;0,00137999114698441;0,00261445667672803;9,61802532628178e-05;0,000230531176809987;0,000800749931361383;0,00126219073027537;0,000489757089622413;0,00100158682758637;0,007339483463053;2,48591495346964;0,0453563428830293
"classe 19";-10,52899697511;-0,213237112626473;0,325612737586958;0,0839318177585196;0,0186498663825004;-0,0933014944940916;-0,999244985491024;-0,0202370763346488;0,0309019839225829;0,00796547365495573;0,00176994879064408;-0,00885469439609801;0,92480536532184;0,000196795072808722;0,000354657353492735;2,07620561987641e-05;9,98809536000002e-07;2,31582484003946e-05;0,502128735629947;0,00020595230665568;0,000480223982646354;3,19076141668871e-05;1,57540610158536e-06;3,94292280478008e-05;0,00452940415226193;6,67115734399069;0,201578143786005
"classe 20";0,140423419172292;-0,177460714798442;-0,0147986775218541;-0,239277077905912;0,314377967573777;0,110759819607421;0,299530264243763;-0,378532691411298;-0,0315663285704544;-0,510390124347402;0,670584125175408;0,236256304184542;0,00212970910803793;0,00176464743683533;9,48455312126232e-06;0,00218466152148007;0,00367451730593513;0,000422530291532672;0,000222009403063183;0,000354565711961979;2,46568785093751e-06;0,000644606194871899;0,00111274713826614;0,000138120061053342;0,0112588046070511;1,8540385190359;0,0387016773125272
"classe 21";0,0324433029164004;0,817369768877429;-0,000367924738255378;0,634352291024686;-0,207920707923668;0,812726123823257;0,0243494266339198;0,613454347461154;-0,000276135769654474;0,476095624732351;-0,156049155547007;0,609969187677889;4,84667846123715e-05;0,0159603908664206;2,49943544148655e-09;0,00654629958631323;0,000685242779467941;0,00969917273024242;6,90801807998534e-06;0,00438470605778287;8,88426126753107e-10;0,00264097547356372;0,000283725802409552;0,00433502675273883;0,0065630141798081;2,83950286023789;0,0529161164541458
"classe 22";0,0697927891900122;0,856462807325341;-1,08246950004393;1,4141888862601;-0,294479625706866;0,0863462509858767;0,0348778971099744;0,428004411617467;-0,540947858444676;0,706719634527915;-0,147161765643515;0,0431502407722718;0,000285869747189054;0,0223345084957062;0,0275745404749022;0,0414670073176006;0,00175191279665523;0,000139535986946401;3,62011320924819e-05;0,00545152563667348;0,00870827989586432;0,0148633218616901;0,000644483120713153;5,54099826929625e-05;0,00743192028248692;2,51516111028879;0,0470145908765797
"classe 23";0,120726932748011;0,0215319075039829;-0,0231897161782734;-0,254645946045428;0,128709885045311;0,658296941466607;0,165777712237215;0,029566810693055;-0,0318432516088905;-0,349670296469849;0,176739603992616;0,903948758119082;0,000433684509456572;7,15719554281276e-06;6,41632423284956e-06;0,0006816789370166;0,000169685320543831;0,00411207871534848;2,29035208207119e-05;7,28549268170423e-07;8,45054622699793e-07;0,000101898419629449;2,60326104751632e-05;0,000680985068999734;0,00157142593037659;3,53229173506004;0,0196068147498428
"classe 24";0,0844708980327237;7,93839057355849;2,53804982112063;-0,3331578324396;-0,683165925117863;-0,776426585688619;0,0100498352477934;0,944461574991104;0,301961777925843;-0,0396370987583543;-0,0812789393061876;-0,0923745272029019;0,000198594828559708;0,909978084855318;0,0718925448897286;0,00109142659918021;0,0044715799235097;0,00535065163786904;9,77478964580246e-05;0,863292807855031;0,0882456859517741;0,00152052390813715;0,00639360188941654;0,00825836346224674;0,0136991366401065;3,65226681328168;0,182733507989693
"classe 25";0,0836642059333589;0,0872931059078368;-0,254931181556614;-0,551884470605526;1,58628830111316;0,694947500585269;0,0454841299100681;0,0474569850400298;-0,138593593887501;-0,30003254888196;0,862387234274629;0,377808909373682;0,000731265140826886;0,000413016756526077;0,00272252114111769;0,0112417156804129;0,0904929234908678;0,0160898371106968;9,4207560038574e-05;0,000102557224950894;0,000874686223884413;0,00409923405660746;0,0338665230454771;0,00649995520139673;0,0134588009095783;1,88513132970159;0,047828811721025
"classe 26";0,0483653964392379;0,874693522944849;-4,56663679070131;-0,234203884359283;-3,8516797910224;0,883545507356313;0,00791997416035966;0,143233605221459;-0,747800039797876;-0,0383515663871732;-0,630723754269254;0,144683143382379;0,000153871556394911;0,0261103659906137;0,550062000597858;0,00127472879347433;0,335926360399;0,0163756616774726;5,27166979192721e-05;0,0172421141653983;0,469971624739969;0,00123613778758578;0,334332845799177;0,0175928638200671;0,0225360965779889;2,375718239281;0,127194566357425
"classe 27";-10,2978465440931;-0,105525798415358;0,123440358159624;0,0891227886457063;-0,452864798785467;-0,557401098791229;-0,997416359529696;-0,0102208900901018;0,0119560368400748;0,00863214721850019;-0,0438630306860461;-0,0539880811365462;0,920231445436042;5,01341697103651e-05;5,30210645431105e-05;2,4351321672985e-05;0,000612627176456101;0,000859789322645489;0,482284082151184;5,06439288657055e-05;6,92985971336038e-05;3,61233177085442e-05;0,000932711271576314;0,0014130116339813;0,00454789151614871;6,54089585586844;0,194573891681425
