"";"X.date_2020.06.26";"X.date_2020.07.13";"X.date_2020.12.16";"X.date_2021.01.23";"X.date_2021.03.23";"X.date_2021.03.24";"X.date_2021.04.04";"X.date_2021.05.20";"X.date_2021.05.21";"X.date_2021.08.21";"X.date_2021.08.23";"X.date_2021.10.19";"X.date_2021.10.21";"X.date_2021.12.03";"X.date_2022.04.20";"X.date_2022.05.09";"X.date_2022.06.16";"X.date_2022.06.23";"X.date_2022.06.25";"X.date_2022.09.19";"X.date_2022.10.25";"X.date_2023.01.15";"X.date_2023.02.05";"X.date_2023.04.05";"X.date_2023.05.22";"X.date_2023.08.10";"X.date_2023.10.27";"X.date_2023.11.29";"X.date_2023.12.19";"X.date_2024.01.28";"X.date_2024.02.10";"X.date_2024.02.17";"X.date_2024.09.26";"X.date_2024.11.12";"X.date_2025.03.21";"X.date_2025.04.15";"X.date_2025.04.27";"X.date_2025.06.03";"X.date_2025.06.19";"X.date_2025.06.29";"X.date_2025.07.07";"X.date_2025.08.06";"X.date_2025.08.07";"X.date_2025.09.12";"X.date_2026.03.11"
"des";0,5832;-1,0903;0,3942;-0,259;0,2917;0,3767;-0,263;-3,4924;-2,7188;1,503;0,4668;-1,2233;-1,2675;-0,5353;1,6643;-1,0069;-1,1685;1,0944;-2,0523;-1,2657;-2,0768;-0,4517;-0,711;-0,3473;-0,9528;1,1768;-1,2971;-0,9314;0,3468;-1,112;0,6848;0,7087;2,8979;-0,6801;0,3049;1,2923;-0,5082;0,2936;-0,3317;-0,4033;-0,6135;1,0066;2,0957;1,1625;0,4878
"français";1,224;-0,1611;0,751;-0,152;-0,2343;-0,2211;3,2493;-1,4587;-0,584;0,2889;0,5615;-0,2273;-0,0908;0,738;0,2116;0,6237;0,2316;-0,112;-0,069;-0,1722;0,6864;1,5545;-0,0239;0,4168;0,4228;-0,3466;-0,0693;-0,0541;1,7063;-0,0617;-0,7848;-0,6346;-0,5995;-0,1151;-0,1426;-0,0812;-0,0857;-0,1143;-0,1018;-0,3657;-0,2918;0,4458;-0,3312;0,384;-0,1097
"de";1,0774;4,5261;1,5203;0,5193;-0,397;-0,4825;-2,4599;-5,6053;-3,3201;2,4939;1,4707;-0,6482;-0,7719;0,8553;-0,3744;-0,5546;-1,6004;-0,7889;-1,1795;-0,7659;0,3036;-0,3658;0,8369;-0,2735;1,4926;1,5712;-1,1924;0,5505;1,095;-0,6667;-0,3962;-0,745;-1,1664;1,3912;0,7323;0,6447;0,6372;-0,381;0,355;-1,8382;2,5506;0,4064;2,9393;-0,306;-1,0475
"immigration";-0,1351;-0,0552;-0,1151;-0,0521;-0,0803;-0,0758;-0,1029;-0,5;-0,2002;-0,5824;-0,279;-0,2112;-0,0311;-0,0301;5,0284;-0,0404;8,3795;-0,0384;-0,0237;-0,059;-0,0343;-0,0389;-0,0082;-0,0719;-0,0706;-0,1188;-0,0238;-0,0185;-0,0322;-0,0211;-0,269;-0,2175;-0,2055;-0,0395;-0,0489;-0,0278;-0,0294;-0,0392;-0,0349;-0,2886;-0,1;-0,3266;-0,2701;-0,0793;-0,0376
"qu";-0,7822;-1,18;-1,2965;-0,2192;0,3472;0,2559;0,7156;2,2549;1,8143;-0,6112;0,3026;1,1572;-1,0803;-0,5094;-0,4928;0,3986;3,0652;-0,1959;-0,8214;1,0023;0,5366;-0,7336;-0,2845;-1,1225;0,4858;-1,0339;-0,8247;-0,2472;-0,5621;-0,3026;-0,7912;-1,3367;-0,7349;-0,4058;-0,5942;-0,4555;0,3839;0,6949;0,5215;1,9744;-0,3305;-0,7797;0,4514;-1,3079;-0,3716
"elle";1,5876;-0,7557;1,1598;0,6496;0,9667;1,0452;-1,4077;0,9438;1,0343;-0,2761;0,4542;-0,6651;4,2066;-0,4113;-0,26;0,8712;0,4107;-0,5255;-0,3238;0,2576;0,534;-0,5321;-0,1122;-0,2149;0,7429;-0,5491;0,2782;-0,2536;0,5722;-0,2894;-2,0057;1,426;-1,3446;-0,5401;-0,6691;0,6625;0,2191;-0,5361;-0,4777;-0,669;-0,207;-0,9049;-2,0177;0,6262;-0,5148
"trop";-0,2927;-0,1196;-0,2493;-0,1129;-0,174;-0,1643;0,3964;2,7731;1,81;0,277;-0,2189;-0,4577;-0,0674;-0,0651;0,8136;-0,0876;1,5816;-0,0832;-0,0513;-0,1279;-0,0744;-0,0843;-0,0178;-0,1558;-0,153;-0,2574;-0,0515;-0,0402;-0,0697;-0,0458;-0,5829;-0,4714;-0,4453;-0,0855;0,6646;-0,0603;-0,0637;-0,0849;-0,0756;-0,6255;0,4058;-0,2792;-0,5854;0,4856;-0,0815
"la";2,1333;0,2762;2,0869;-0,9701;-0,3553;0,2947;-0,316;-1,8896;-1,1961;1,343;0,4609;1,5235;0,6765;0,5878;-0,4622;-0,3731;-2,18;-0,6865;-1,2932;-1,4366;-0,3437;0,6382;-0,4087;2,3709;0,5394;0,7178;-0,969;1,2783;1,6368;-0,3551;2,4173;0,8332;-3,7713;0,3628;-0,2958;1,1639;-0,3621;-0,5689;-1,083;-0,288;-1,2643;-1,9654;0,3825;0,4149;-0,8247
"défendre";-0,1914;-0,0782;-0,163;-0,0738;-0,1138;-0,1074;-0,1457;-0,7084;-0,2836;-0,3465;-0,3952;2,4094;-0,0441;-0,0426;0,4313;-0,0573;0,4573;-0,0544;-0,0335;-0,0836;-0,0486;-0,0551;-0,0116;-0,1019;-0,1001;-0,1683;-0,0337;-0,0263;-0,0456;-0,03;0,2334;-0,3082;1,5827;-0,0559;1,9673;-0,0394;-0,0416;-0,0555;-0,0494;1,9443;-0,1417;-0,4626;-0,3827;-0,1124;-0,0533
"expression";-0,1351;-0,0552;0,6331;-0,0521;-0,0803;-0,0758;-0,1029;0,5205;0,4326;-0,1988;0,3243;0,4144;-0,0311;-0,0301;-0,1418;-0,0404;1,4596;-0,0384;-0,0237;-0,059;1,1193;-0,0389;-0,0082;-0,0719;-0,0706;-0,1188;-0,0238;-0,0185;-0,0322;-0,0211;-0,269;1,0757;-0,2055;-0,0395;-0,0489;-0,0278;-0,0294;-0,0392;-0,0349;-0,2886;-0,1;-0,3266;-0,2701;-0,0793;-0,0376
