"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"classe 12";0,350946076356339;-0,383375204962759;0,682893400407548;-0,399319886939481;0,306575152325568;-0,389758355503746;0,328426268326044;-0,358774456867858;0,63907291253659;-0,373695986852263;0,286902575703797;-0,364748007944722;0,306525921915749;0,113713738190364;0,119445612227867;0,0320022215360366;0,0163243125964694;0,0183550916606307;0,00506738198192793;0,0060471522447936;0,019187071396716;0,00656061782023448;0,00386702309440954;0,00625019732595125;0,0411436541143654;0,145471879550446;0,000870684795436845
"classe 13";0,238312885998441;-1,3173701099015;-2,0009653949036;1,39910792919058;-0,968027883132491;0,114969440602928;0,0807774460838623;-0,446529748398735;-0,678238080267122;0,474235225855287;-0,328118304680854;0,0389695158559557;0,0228274289224544;0,216848302821876;0,165622390118126;0,0634477471979427;0,0262852585557458;0,000257932488418056;0,000349167302328514;0,0106697471151273;0,024616010659664;0,0120348574691934;0,00576121720959627;8,12649648726508e-05;0,00614806592092904;0,361985595459141;0,000805603034329556
"classe 14";0,238384804934799;0,51345664906823;-0,992695770880678;-1,74820564616853;1,8531095197987;1,29961931261988;0,0774027303576167;0,166717616791992;-0,322324919583861;-0,567636390570515;0,601698319334331;0,421981943227387;0,0360785367905438;0,0520328736094952;0,0643875745159224;0,156469119278314;0,152148797390433;0,05205990300876;0,000386580375672125;0,00179345394879167;0,00670370675866928;0,0207906325258199;0,0233606455263167;0,0114898663791468;0,00680272108843537;0,288022472222249;0,000564332955816438
"classe 15";0,208743565613159;-0,279772496572449;1,06428597425294;-0,183047669565524;0,408538472712446;0,331925492350872;0,166854176221902;-0,223629453238573;0,850711536793372;-0,146314776338041;0,326555456304288;0,265316702963144;0,118272003709787;0,0660456571374087;0,316410131967349;0,00733391701164902;0,0316152233151516;0,0145183158426412;0,00117018051918278;0,00210201933004618;0,0304188888826603;0,000899818829762161;0,00448221403119422;0,00295874737106652;0,0268550935018359;0,139297840191346;0,000521093234111581
"classe 16";0,409430964835056;-0,08224415378757;-1,65681067326423;1,70603650450078;2,00224114263006;-0,441822849767081;0,129252882981058;-0,0259635809169037;-0,523037030575989;0,538577087755168;0,63208565627781;-0,139478647205661;0,0700187904372565;0,000878297763864796;0,11799862498075;0,0980351228517261;0,116858570437047;0,0039584835455999;0,00141949250568739;5,72772036999247e-05;0,0232443551104396;0,0246461094987632;0,0339472420228575;0,00165298182894858;0,00846782227535366;0,355095889646289;0,00106773388341439
"classe 17";0,908914072671656;-2,77107570823721;-1,71546864709916;-0,199373852254954;-0,67413609581364;2,03828222730157;0,226545508483943;-0,69068658330355;-0,427578061150488;-0,0496936422215764;-0,168027439782696;0,508038875732788;0,204646158736998;0,591334467860437;0,0750242144559869;0,000794046921129944;0,00785647399660755;0,049964994249841;0,0196578807871369;0,182720731094243;0,0700255634245484;0,000945861268808572;0,0108139960056791;0,0988597885258746;0,0237952921754476;0,461098056293684;0,00505915079967245
"classe 18";0,513649671291513;-0,227439151770739;0,187443649699381;1,05434172715039;-2,47483481917971;0,939085074660556;0,176502281990562;-0,0781535189161063;0,064410110169824;0,362296972510471;-0,850412289832872;0,32269203685871;0,153935628298873;0,00938240213491939;0,00210971858121258;0,0523021729667264;0,249386033138654;0,0249801050448453;0,00196001457425971;0,000384287028858577;0,000261015762761362;0,00825825066622067;0,0455006611095133;0,00655141556128164;0,00742891298778926;0,300448266563382;0,000670601741665262
"classe 19";-9,22041680676896;-3,26689028664649;1,2518327984949;0,0433422489511777;-0,126447054050883;-0,857571665206782;-0,931359793555168;-0,329990533693093;0,126448376597886;0,00437802638225105;-0,0127724922446058;-0,0866238246929787;0,957438610506955;0,0373643471708236;0,00181627007169322;1,70602164971758e-06;1,25661382539763e-05;0,000402096173929582;0,377494362284047;0,0473891001228955;0,00695828182735499;8,34127130864869e-06;7,09948415048797e-05;0,00326550391684806;0,00444026983178209;2,16255592572335;0,0207655796138521
"classe 20";0,664429389370342;-1,86085601412693;-0,559619544859989;1,60179982976692;2,47411698197575;0,7864661215831;0,180681113738969;-0,506030501538978;-0,152179726323091;0,43558424997342;0,672797168480921;0,21386708209922;0,162017081503757;0,395063718161963;0,0118284225105802;0,0759331552378714;0,156775490887952;0,0110205289466832;0,00505764470490041;0,0396712778552421;0,00358786750585472;0,0293945716162338;0,0701279444767473;0,00708615565309481;0,0114564654313608;0,378826798941134;0,00164411441657088
"classe 21";0,175408785942276;-0,409988082952431;-3,34947969761472;-3,70761140882228;-0,141732285967024;-1,2903933772225;0,0338519413378274;-0,0791231320526975;-0,646412262799717;-0,715527692872894;-0,0273527520554803;-0,249031544650405;0,0104424585629125;0,0177345842360585;0,391861610864452;0,376218648168716;0,000475786627147519;0,0274361766554242;0,00020711835815126;0,00113150994678939;0,0755215002669685;0,0925346377440895;0,000135223911120774;0,0112088268459054;0,00673156291805425;0,393932874308444;0,00104462486515543
"classe 22";-0,838603277798311;1,63383836175412;-1,07651545469462;-0,919703872856929;-1,23517192000523;-0,838009334761921;-0,304086702844968;0,592447625189137;-0,390356255271481;-0,333494663919109;-0,44788682151015;-0,303871332616404;0,285602531294764;0,337012173299959;0,0484359055845222;0,0277010859834367;0,043239268033631;0,0138460507235631;0,00551466935788679;0,0209326660629467;0,00908755192884462;0,00663288393782437;0,0119635808108494;0,0055068605652323;0,00784163037599977;0,360120456436799;0,00101695550440442
"classe 23";-0,443060887706523;1,15374965464962;2,20452956035597;-1,89362617063732;2,20787935572573;10,8401666233596;-0,0385114349303069;0,100285437021772;0,191620608072774;-0,164596476638513;0,191911776690885;0,942241536395163;0,00917530506342757;0,0193417303225034;0,0233777916697813;0,0135155587248382;0,0159007985670133;0,266652012676035;0,000307308293110212;0,00208386999710318;0,00760815421502804;0,00561352870739025;0,00763129304981619;0,183958292295591;0,00156547974838471;1,06151324988531;0,00176399882966197
"classe 24";-0,583097749030832;2,30348494471144;-1,19079918914085;2,15947031470989;-3,21437922041353;-0,0914231701768715;-0,124125309309083;0,490347942049774;-0,253488060831628;0,459691228790827;-0,684252024010853;-0,0194614527239773;0,0842427716621649;0,408694829193693;0,036158043471945;0,0931743169444447;0,178656455500718;0,000100540660788414;0,00462105215329186;0,0721155460740504;0,0192723733663488;0,0633800557639275;0,140427564581136;0,000113598002208119;0,0135912105427945;0,461049232962269;0,00288903463169124
"classe 25";0,0777110739870566;1,33695800970911;-0,122218732839531;-0,360165989117122;1,38972734639468;0,903223601322349;0,0359016041443861;0,61765890959424;-0,056463620180621;-0,166392459969191;0,642037723828137;0,417278703340823;0,0051542380752399;0,47425580681614;0,0013120553328348;0,00892803481838135;0,11503564501073;0,033804029464423;9,04141347632329e-05;0,0267612283202553;0,000223638237939535;0,00194211931491737;0,0289154340132879;0,0122140885126942;0,0149716790481883;0,248412208622281;0,000923881733882886
"classe 26";-0,439821174452283;1,82683225358015;0,04516864292206;-0,254680664217384;-1,62708330777622;0,273708553228268;-0,174951778776485;0,726676137610053;0,0179671532048797;-0,101306707846196;-0,647220132744792;0,108875609077386;0,112962936015044;0,605842191326485;0,000122612778379468;0,00305441099983964;0,10788917085678;0,00212392758928786;0,00424788707000871;0,0732854967642684;4,4801729516095e-05;0,00142433662711039;0,0581353476724888;0,00164511943423862;0,0219594113796146;0,300317341370829;0,00198053041342571
"classe 27";-9,65094709632876;-2,19176488962383;1,18524169799822;0,985316882519475;-0,00871490569134601;1,52442894658172;-0,952582690337177;-0,216334964258446;0,116987557190987;0,0972542691838073;-0,00086019208546435;0,150466541021149;0,977930521516947;0,0156795838383188;0,00151795857431921;0,000821999971917634;5,5650373919899e-08;0,00118457283453667;0,462615378273869;0,0238598729492832;0,00697740672662628;0,00482205371421862;3,77229440155412e-07;0,0115423587652423;0,0049668402926024;2,23969147551971;0,0249147532095888
"classe 28";-0,0720046192997945;0,658956943413631;-1,6012975437276;-1,12823275096239;4,16445262643635;3,12823092952424;-0,0128487592768415;0,117586610721087;-0,2857412048009;-0,201325847790515;0,743119675337877;0,558212605895157;0,0011906039409499;0,030998390516756;0,0605994410482651;0,0235719671556467;0,277931021181526;0,109099679420095;1,98485033862287e-05;0,0016623448628134;0,00981637461267787;0,00487309023927049;0,0663930929231344;0,0374631818137967;0,00382830956650443;0,478904549917694;0,000878021144987232
"classe 29";0,488399754080761;-0,0139455412619132;-1,5570706732557;0,628175990703579;1,20965431014802;-0,734728533288254;0,217101027763849;-0,00619900259037371;-0,692141305642146;0,279233664756862;0,537709513114699;-0,326597870640879;0,188539600875644;4,77860276140944e-05;0,197217888622704;0,0251516337593097;0,0807139937769289;0,0207149928025004;0,00157515618337137;1,28423203519061e-06;0,0160099287539067;0,00260576601681525;0,00966262897030838;0,00356472934533558;0,00660347821136823;0,258134710985328;0,000440013057000286
